L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,5,5,0.625,9.0,fres_l1.0,1.0,0.15099747474745398
8,5,5,0.625,9.0,fres_l2.0,1.0,0.29406565656562267
8,6,5,0.75,9.0,onsite_pair_density,3.0,0.7315316911058467
8,6,5,0.75,9.0,onsite_pair_variance,1.0,8.256708022337667
8,6,5,0.75,9.0,charge_fluctuation,1.0,0.40557641106958003
8,6,5,0.75,9.0,fock_entropy_normalized,1.0,0.4406960448467066
8,6,5,0.75,9.0,pr_normalized,1.0,0.012873698192107198
8,6,5,0.75,9.0,Nres_mean_l1.0,1.0,1.0277985948475532
8,6,5,0.75,9.0,Nres_mean_l2.0,1.0,2.0421623731457066
8,6,5,0.75,9.0,fres_l1.0,1.0,0.138882911392402
8,6,5,0.75,9.0,fres_l2.0,1.0,0.27595042194095404
8,7,5,0.875,9.0,onsite_pair_density,3.0,1.0233152026955066
8,7,5,0.875,9.0,onsite_pair_variance,1.0,12.242298397503
8,7,5,0.875,9.0,charge_fluctuation,1.0,0.5370095943605133
8,7,5,0.875,9.0,fock_entropy_normalized,1.0,0.47967306598411996
8,7,5,0.875,9.0,pr_normalized,1.0,0.011771359479094799
8,7,5,0.875,9.0,Nres_mean_l1.0,1.0,1.2020467141724667
8,7,5,0.875,9.0,Nres_mean_l2.0,1.0,2.367304038004607
8,7,5,0.875,9.0,fres_l1.0,1.0,0.1493688508460953
8,7,5,0.875,9.0,fres_l2.0,1.0,0.2941661747343333
8,4,5,0.5,10.0,onsite_pair_density,3.0,0.28096593192526664
8,4,5,0.5,10.0,onsite_pair_variance,2.0,2.263001504571333
8,4,5,0.5,10.0,charge_fluctuation,2.0,0.20146693055374268
8,4,5,0.5,10.0,fock_entropy_normalized,2.0,0.36030625649534664
8,4,5,0.5,10.0,pr_normalized,1.0,0.01851693439345167
8,4,5,0.5,10.0,Nres_mean_l1.0,1.0,0.6875959595959446
8,4,5,0.5,10.0,Nres_mean_l2.0,1.0,1.3899797979795734
8,4,5,0.5,10.0,fres_l1.0,1.0,0.11818055555554267
8,4,5,0.5,10.0,fres_l2.0,1.0,0.23890277777781402
8,5,5,0.625,10.0,onsite_pair_density,3.0,0.47936385463235337
8,5,5,0.625,10.0,onsite_pair_variance,1.0,4.575779446177067
8,5,5,0.625,10.0,charge_fluctuation,1.0,0.27623976481880663
8,5,5,0.625,10.0,fock_entropy_normalized,1.0,0.3862176469750467
8,5,5,0.625,10.0,pr_normalized,1.0,0.012127682361626401
8,5,5,0.625,10.0,Nres_mean_l1.0,1.0,0.8293602693601798
8,5,5,0.625,10.0,Nres_mean_l2.0,1.0,1.6312626262623933
8,5,5,0.625,10.0,fres_l1.0,1.0,0.12440404040406666
8,5,5,0.625,10.0,fres_l2.0,1.0,0.24468939393942
8,6,5,0.75,10.0,onsite_pair_density,4.0,0.73075262786448
8,6,5,0.75,10.0,onsite_pair_variance,1.0,7.736648639061599
8,6,5,0.75,10.0,charge_fluctuation,1.0,0.38499130754647337
8,6,5,0.75,10.0,fock_entropy_normalized,1.0,0.42215519562194004
8,6,5,0.75,10.0,pr_normalized,1.0,0.012174434408536668
8,6,5,0.75,10.0,Nres_mean_l1.0,1.0,1.0156440281032202
8,6,5,0.75,10.0,Nres_mean_l2.0,1.0,1.9810538641685072
8,6,5,0.75,10.0,fres_l1.0,1.0,0.13724050632911933
8,6,5,0.75,10.0,fres_l2.0,1.0,0.2676930379747
8,7,5,0.875,10.0,onsite_pair_density,3.0,1.0237295053334867
8,7,5,0.875,10.0,onsite_pair_variance,1.0,11.441787567698935
8,7,5,0.875,10.0,charge_fluctuation,1.0,0.5064618447055199
8,7,5,0.875,10.0,fock_entropy_normalized,1.0,0.45506877502522664
8,7,5,0.875,10.0,pr_normalized,1.0,0.012735759775849034
8,7,5,0.875,10.0,Nres_mean_l1.0,1.0,1.1568606492477866
8,7,5,0.875,10.0,Nres_mean_l2.0,1.0,2.2772327790971265
8,7,5,0.875,10.0,fres_l1.0,1.0,0.14375393545849202
8,7,5,0.875,10.0,fres_l2.0,1.0,0.28297373081465327
