L,N,nmax,W_over_t,observable,n_disorder,U_peak,peak_value,quality_flag
8,6,6,0.8,M_per_edge,100,0.0,0.9525633046886823,boundary
8,6,6,0.8,M_per_edge,300,0.0,0.9491515832465974,boundary
8,6,6,0.8,M_sum,100,0.0,6.512319808451361,boundary
8,6,6,0.8,M_sum,300,0.0,6.492266765517977,boundary
8,6,6,0.8,S2_per_edge,100,0.0,0.6688575856189276,boundary
8,6,6,0.8,S2_per_edge,300,0.0,0.66707585333103,boundary
8,6,6,0.8,S2_sum,100,0.0,4.5726676320319,boundary
8,6,6,0.8,S2_sum,300,0.0,4.562887412159077,boundary
8,6,6,0.8,Sstar_mean,100,0.0,1.558050065596328,boundary
8,6,6,0.8,Sstar_mean,300,0.0,1.5571270159379862,boundary
8,6,6,0.9,M_per_edge,100,0.0,0.9419800614557048,boundary
8,6,6,0.9,M_per_edge,300,0.0,0.9379156178375585,boundary
8,6,6,0.9,M_sum,100,0.0,6.4400367507581215,boundary
8,6,6,0.9,M_sum,300,0.0,6.4153668245342095,boundary
8,6,6,0.9,S2_per_edge,100,0.0,0.6632938521938787,boundary
8,6,6,0.9,S2_per_edge,300,0.0,0.6611531504493958,boundary
8,6,6,0.9,S2_sum,100,0.0,4.534668993085127,boundary
8,6,6,0.9,S2_sum,300,0.0,4.522351125638519,boundary
8,6,6,0.9,Sstar_mean,100,0.0,1.5553365603298783,boundary
8,6,6,0.9,Sstar_mean,300,0.0,1.5542364409152116,boundary
8,6,6,1.0,M_per_edge,100,0.0,0.9308906795169348,boundary
8,6,6,1.0,M_per_edge,300,0.0,0.926177547125365,boundary
8,6,6,1.0,M_sum,100,0.0,6.364293740116264,boundary
8,6,6,1.0,M_sum,300,0.0,6.335032456946822,boundary
8,6,6,1.0,S2_per_edge,100,0.0,0.6574116532090208,boundary
8,6,6,1.0,S2_per_edge,300,0.0,0.6549080641075166,boundary
8,6,6,1.0,S2_sum,100,0.0,4.494493875879958,boundary
8,6,6,1.0,S2_sum,300,0.0,4.479609269479178,boundary
8,6,6,1.0,Sstar_mean,100,0.0,1.552424482298543,boundary
8,6,6,1.0,Sstar_mean,300,0.0,1.5510604007642717,boundary
8,6,6,1.1,M_per_edge,100,0.0,0.9194215779015791,boundary
8,6,6,1.1,M_per_edge,300,0.0,0.9140726574772664,boundary
8,6,6,1.1,M_sum,100,0.0,6.285954160611993,boundary
8,6,6,1.1,M_sum,300,0.0,6.252189814919816,boundary
8,6,6,1.1,S2_per_edge,100,0.0,0.6512733695956205,boundary
8,6,6,1.1,S2_per_edge,300,0.0,0.6484079676101565,boundary
8,6,6,1.1,S2_sum,100,0.0,4.452568256935733,boundary
8,6,6,1.1,S2_sum,300,0.0,4.4351230890908715,boundary
8,6,6,1.1,Sstar_mean,100,0.0,1.5491375485753722,boundary
8,6,6,1.1,Sstar_mean,300,0.0,1.5474939287794398,boundary
8,6,6,1.2000000000000002,M_per_edge,100,0.0,0.9076821057292059,boundary
8,6,6,1.2000000000000002,M_per_edge,300,0.0,0.9017166984599311,boundary
8,6,6,1.2000000000000002,M_sum,100,0.0,6.205764927828035,boundary
8,6,6,1.2000000000000002,M_sum,300,0.0,6.167631252211125,boundary
8,6,6,1.2000000000000002,S2_per_edge,100,0.0,0.6449344756035736,boundary
8,6,6,1.2000000000000002,S2_per_edge,300,0.0,0.64171220835209,boundary
8,6,6,1.2000000000000002,S2_sum,100,0.0,4.409271000279305,boundary
8,6,6,1.2000000000000002,S2_sum,300,0.0,4.389298863989936,boundary
8,6,6,1.2000000000000002,Sstar_mean,100,0.0,1.5455313475184145,boundary
8,6,6,1.2000000000000002,Sstar_mean,300,0.0,1.5434989257650178,boundary
8,6,6,1.3,M_per_edge,100,0.0,0.8957654997677121,boundary
8,6,6,1.3,M_per_edge,300,0.0,0.8892073042474775,boundary
8,6,6,1.3,M_sum,100,0.0,6.124362990763128,boundary
8,6,6,1.3,M_sum,300,0.0,6.082025060883865,boundary
8,6,6,1.3,S2_per_edge,100,0.0,0.6384436479780059,boundary
8,6,6,1.3,S2_per_edge,300,0.0,0.6348723793460238,boundary
8,6,6,1.3,S2_sum,100,0.0,4.364934588000672,boundary
8,6,6,1.3,S2_sum,300,0.0,4.342489767953364,boundary
8,6,6,1.3,Sstar_mean,100,0.0,1.5416016282499694,boundary
8,6,6,1.3,Sstar_mean,300,0.005607649046691837,1.539126787914111,ok
8,6,6,1.4000000000000001,M_per_edge,100,0.0,0.8837503309051195,boundary
8,6,6,1.4000000000000001,M_per_edge,300,0.0,0.8766258705611163,boundary
8,6,6,1.4000000000000001,M_sum,100,0.0,6.042285180132552,boundary
8,6,6,1.4000000000000001,M_sum,300,0.0,5.995928328582805,boundary
8,6,6,1.4000000000000001,S2_per_edge,100,0.0,0.6318431476266235,boundary
8,6,6,1.4000000000000001,S2_per_edge,300,0.0,0.6279328666224071,boundary
8,6,6,1.4000000000000001,S2_sum,100,0.0,4.319847713709524,boundary
8,6,6,1.4000000000000001,S2_sum,300,0.0,4.2949996188478945,boundary
8,6,6,1.4000000000000001,Sstar_mean,100,0.0,1.5370867593834283,boundary
8,6,6,1.4000000000000001,Sstar_mean,300,0.006232459222681622,1.5342841618534295,ok
8,6,6,1.5,M_per_edge,100,0.0,0.8717021508481185,boundary
8,6,6,1.5,M_per_edge,300,0.0,0.8640395712595231,boundary
8,6,6,1.5,M_sum,100,0.0,5.959979431680058,boundary
8,6,6,1.5,M_sum,300,0.0,5.909800752519698,boundary
8,6,6,1.5,S2_per_edge,100,0.0,0.6251693496751459,boundary
8,6,6,1.5,S2_per_edge,300,0.0,0.6209315322313539,boundary
8,6,6,1.5,S2_sum,100,0.0,4.274258891881033,boundary
8,6,6,1.5,S2_sum,300,0.0,4.2470875573398095,boundary
8,6,6,1.5,Sstar_mean,100,0.0,1.532378350054029,boundary
8,6,6,1.5,Sstar_mean,300,0.006278004607784702,1.5290237922610832,ok
8,6,6,1.6,M_per_edge,100,0.0,0.8596751572662682,boundary
8,6,6,1.6,M_per_edge,300,0.0,0.8515033264463938,boundary
8,6,6,1.6,M_sum,100,0.0,5.877816142130943,boundary
8,6,6,1.6,M_sum,300,0.0,5.824018121295399,boundary
8,6,6,1.6,S2_per_edge,100,0.0,0.6184533367568155,boundary
8,6,6,1.6,S2_per_edge,300,0.0,0.6139004405807352,boundary
8,6,6,1.6,S2_sum,100,0.0,4.228380501517403,boundary
8,6,6,1.6,S2_sum,300,0.0,4.19897302244542,boundary
8,6,6,1.6,Sstar_mean,100,2.781113657137915e-05,1.5271618078441358,ok
8,6,6,1.6,Sstar_mean,300,0.00972335182571305,1.5233374866778,ok
8,6,6,1.7000000000000002,M_per_edge,100,0.0,0.847713772349123,boundary
8,6,6,1.7000000000000002,M_per_edge,300,0.0,0.839061621437287,boundary
8,6,6,1.7000000000000002,M_sum,100,0.0,5.7960989391815705,boundary
8,6,6,1.7000000000000002,M_sum,300,0.0,5.738884774918457,boundary
8,6,6,1.7000000000000002,S2_per_edge,100,0.0,0.6117215006219001,boundary
8,6,6,1.7000000000000002,S2_per_edge,300,0.0,0.6068665715080006,boundary
8,6,6,1.7000000000000002,S2_sum,100,0.0,4.182392888801669,boundary
8,6,6,1.7000000000000002,S2_sum,300,0.0,4.15084063615954,boundary
8,6,6,1.7000000000000002,Sstar_mean,100,0.0,1.5217397991432131,boundary
8,6,6,1.7000000000000002,Sstar_mean,300,0.1402111861797768,1.5178210321353403,ok
8,6,6,1.8,M_per_edge,100,0.0,0.8358540811625936,boundary
8,6,6,1.8,M_per_edge,300,0.0,0.8267501317668555,boundary
