L,N,nmax,W_over_t,observable,U_peak,U_peak_ci_low,U_peak_ci_high,peak_value,curvature,fit_method,quality_flag,bootstrap_valid,n_samples
7,7,7,1.8,M_sum,0.005218809096498464,0.0010370092584165375,0.01256107214015846,5.8038836912097596,-22.070981169475292,local_parabola_5_points,ok,727,300
7,7,7,1.8,M_per_edge,0.0,nan,nan,0.8464789324768502,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.8,S2_sum,0.005658692042054019,0.0013230678610035528,0.013226010323901447,4.18874909125911,-15.208884125667621,local_parabola_5_points,ok,746,300
7,7,7,1.8,S2_per_edge,0.0,nan,nan,0.6108729012944872,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.8,Sstar_mean,0.0055814690527659664,0.002644123014126217,0.011013440124475981,1.5182459235227381,-6.170292928276656,local_parabola_5_points,ok,728,300
7,7,7,1.9000000000000001,M_sum,0.004916972006167199,0.0006274492164455395,0.01329901963093976,5.727224819171825,-16.88087891620196,local_parabola_5_points,ok,691,300
7,7,7,1.9000000000000001,M_per_edge,0.0,nan,nan,0.8353220293487921,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.9000000000000001,S2_sum,0.005543534998668695,0.0013064671770125888,0.014005116381014938,4.145180163733943,-11.71298921267986,local_parabola_5_points,ok,722,300
7,7,7,1.9000000000000001,S2_per_edge,0.0,nan,nan,0.6045333100108196,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.9000000000000001,Sstar_mean,0.005411043586879617,0.0017114947124606712,0.012696489416733688,1.5131506769502563,-4.70832836572324,local_parabola_5_points,ok,688,300
7,7,7,2.0,M_sum,0.00646377934725378,0.0017651986881262508,0.014828271405261448,5.6515048488385835,-17.44537965997357,local_parabola_5_points,ok,715,300
7,7,7,2.0,M_per_edge,0.0,nan,nan,0.8242840330609641,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.0,S2_sum,0.0070788779349964595,0.0019827579245570016,0.015886718012372403,4.101875742319301,-12.039699937922439,local_parabola_5_points,ok,754,300
7,7,7,2.0,S2_per_edge,0.0,nan,nan,0.5982190019585523,nan,local_parabola_5_points,boundary,0,300
7,7,7,2.0,Sstar_mean,0.006452221951290417,0.004388208628128403,0.012483634899384395,1.507842912503909,-6.167935523119997,local_parabola_5_points,ok,757,300
7,7,7,2.1,M_sum,0.0052432295357361285,0.0017747138414506906,0.014808756523530316,5.576529455952367,-15.785354890399828,local_parabola_5_points,ok,621,300
7,7,7,2.1,M_per_edge,0.0,nan,nan,0.8133832050314873,nan,local_parabola_5_points,boundary,0,300
