U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
3.0,4.0,7,7,2,periodic,0.29408201705870635,0.05073454780947544,123.84431474140598,36.42038588040595,0.5315315315315314,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_4/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W4_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W4_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,5.0,7,7,2,periodic,0.4996877453854884,0.05587594536393203,112.44884120091126,56.18930793089416,0.3013013013013013,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,6.0,7,7,2,periodic,0.5672228971644544,0.06454929434454307,97.33933377554824,55.213098912224304,0.24624624624624622,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_6/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W6_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W6_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,7.0,7,7,2,periodic,0.697981390783066,0.07128797524328254,88.13808059125162,61.51874007203176,0.1561561561561562,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_7/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W7_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W7_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,8.0,7,7,2,periodic,0.7060717714137773,0.07611331514180976,82.55040915604756,58.28651362374261,0.15115115115115116,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_8/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W8_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W8_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,9.0,7,7,2,periodic,0.8201889499202203,0.08600982995736375,73.05194429862549,59.91639748392006,0.08608608608608616,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_9/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W9_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W9_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,10.0,7,7,2,periodic,0.8393129498166364,0.09262038285800238,67.83804075623858,56.93734609689981,0.07607607607607617,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_10/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W10_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W10_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,11.0,7,7,2,periodic,0.8994022174092045,0.1005842045429893,62.46691849607636,56.18288501009113,0.0460460460460461,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_11/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W11_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W11_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,12.0,7,7,2,periodic,0.9098272894455558,0.1081870696092749,58.07704497285808,52.84008040666311,0.04104104104104113,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_12/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W12_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W12_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,13.0,7,7,2,periodic,0.952750047242729,0.11957088694717745,52.547785398257474,50.064905020690595,0.02102102102102108,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_13/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W13_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W13_L7_N7_nmax2_boundaryperiodic_nreal300.txt
