U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file
3.0,15.0,9,9,2,periodic,0.7479522515621821,0.018611755182840337,337.59230365186386,252.50292362647545,0.12612612612612617,277,277,100,pbs_bose_midpoint_L9/data/U_3/W_15/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W15_boundaryperiodic_nreal300.txt
4.0,0.5,9,9,2,periodic,0.19646866461804466,0.010196762620777587,616.1941334572758,121.06283854582418,0.7067067067067065,300,300,100,pbs_bose_midpoint_L9/data/U_4/W_0p5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W0.5_boundaryperiodic_nreal300.txt
4.0,1.0,9,9,2,periodic,0.0790492762269642,0.009404000683968712,668.1396055075501,52.81595223394122,1.1021021021021022,300,300,100,pbs_bose_midpoint_L9/data/U_4/W_1/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W1_boundaryperiodic_nreal300.txt
4.0,3.0,9,9,2,periodic,0.0897331581458352,0.007269488461668695,864.3228942875706,77.55842296217257,1.0470470470470472,300,300,100,pbs_bose_midpoint_L9/data/U_4/W_3/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W3_boundaryperiodic_nreal300.txt
4.0,4.0,9,9,2,periodic,0.1327770829355429,0.007733640591210547,812.4485787871453,107.87455232648476,0.8768768768768771,298,298,100,pbs_bose_midpoint_L9/data/U_4/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
4.0,5.0,9,9,2,periodic,0.25609931002584596,0.008478761578250591,741.0498867307442,189.7823646864749,0.5915915915915915,294,294,100,pbs_bose_midpoint_L9/data/U_4/W_5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W5_boundaryperiodic_nreal300.txt
4.0,6.0,9,9,2,periodic,0.3789470919074668,0.009428051976380015,666.4351578587788,252.54366501547779,0.42142142142142136,296,296,100,pbs_bose_midpoint_L9/data/U_4/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
4.0,7.0,9,9,2,periodic,0.46096044868284336,0.010568570652905694,594.5160905417332,274.0484038452873,0.3363363363363363,292,292,100,pbs_bose_midpoint_L9/data/U_4/W_7/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W7_boundaryperiodic_nreal300.txt
4.0,8.0,9,9,2,periodic,0.5542985515684669,0.011523463067003385,545.2514813165011,302.23210633429755,0.25625625625625625,288,288,100,pbs_bose_midpoint_L9/data/U_4/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
4.0,9.0,9,9,2,periodic,0.5737976414214134,0.012610567301606344,498.2476328705077,285.8933165848996,0.24124124124124122,288,288,100,pbs_bose_midpoint_L9/data/U_4/W_9/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W9_boundaryperiodic_nreal300.txt
4.0,10.0,9,9,2,periodic,0.6899837121430018,0.013828144116022857,454.3766144221172,313.51246312994186,0.16116116116116116,287,287,100,pbs_bose_midpoint_L9/data/U_4/W_10/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W10_boundaryperiodic_nreal300.txt
4.0,11.0,9,9,2,periodic,0.6742622241778342,0.015137482073521953,415.07466543395304,279.8691671153676,0.17117117117117117,290,290,100,pbs_bose_midpoint_L9/data/U_4/W_11/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W11_boundaryperiodic_nreal300.txt
4.0,12.0,9,9,2,periodic,0.6665363268124913,0.01580716669450407,397.4896595076815,264.94129759419786,0.17617617617617626,286,286,100,pbs_bose_midpoint_L9/data/U_4/W_12/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U4_L9_N9_nmax2_W12_boundaryperiodic_nreal300.txt
