L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,6,5,1.0,0.5,200,21,0.0,2.0,0.087693545627203,0.0914654822625815,0.08736351075997356,0.09572429662539024,0.30560273786066655,0.3,0.3057410223166035,0.2997272296094552,0.31119675332359376,1.0,0.011469523714138563,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.008447825859429357,0.0004900919633484986,17.237225849839547,-0.24447196401180724,-0.26507073478125076,-0.22501269368059584,1.0,6.058118458495719,500,,0.2180474766894005,2.4864712121043606,inconsistent
6,6,5,1.0,1.0,200,21,0.0,2.0,0.17204294137703038,0.18243417123457278,0.17464379266424576,0.19054578607794725,0.28897589862826356,0.3,0.28902341264812464,0.27439347081423315,0.2960842948584023,1.0,0.021690824044169166,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.010428741609804377,0.000576786742769177,18.080758166762912,-0.2727973492670559,-0.29687574896026625,-0.2504049764220035,1.0,5.506038327341277,500,,0.11698047127109426,0.6799492634500635,inconsistent
6,6,5,1.0,1.5,200,21,0.0,2.0,0.2514841688975441,0.2657483135428184,0.2519059235518382,0.27825200139124473,0.3258517590742757,0.3,0.32570274879751093,0.3160788717901129,0.3352990150105009,1.0,0.01922014322038801,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.02151573938192297,0.0012001932462778746,17.92689589668091,-0.47149379491003796,-0.516317421760518,-0.4254724307340145,1.0,5.600957949429967,500,,0.07421857989996683,0.2951222743973353,inconsistent
6,6,5,1.0,2.0,200,21,0.0,2.0,0.3260371215410133,0.34238653331380026,0.32730530291059445,0.3600052335040799,0.3479086734671902,0.3,0.3477701312165591,0.33517392333143126,0.36203745798615095,1.0,0.02686353465471969,0.049999999999999996,True,False,0.3,0.4,0.10000000000000003,2,False,0.027981209458555856,0.00195368760469732,14.32225366597999,-0.5981638815170812,-0.6766856374250312,-0.5025114212275803,1.0,8.775053689250745,500,,0.02173300967554581,0.06665808351154869,consistent
6,6,5,1.0,2.5,200,21,0.0,2.0,0.3963306183418817,0.4171129649319364,0.3973968805970163,0.43676538095154027,0.34764335441793087,0.4,0.34730024407354876,0.32717342514004477,0.36373849781274775,1.0,0.03656507267270298,0.049999999999999996,True,False,0.3,0.4,0.10000000000000003,2,False,0.026279409162819744,0.0025351897780527587,10.365854813048578,-0.6710885158320141,-0.7706348036167959,-0.5266766941677944,1.0,16.751830178515604,500,,-0.049030374268332955,0.12371079093878762,consistent
6,6,5,1.0,3.0,200,21,0.0,2.0,0.46303667479397187,0.4871201844484353,0.4614535693241884,0.5121481826694058,0.3212468647708203,0.3,0.32205461279003744,0.30264407221076123,0.3454282357792172,1.0,0.04278416356845599,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.021170957333132588,0.0028788840813921404,7.353876271008091,-0.5884994947716586,-0.7682609957056595,-0.4630305530258322,1.0,33.284333734059324,500,,-0.14098206200393443,0.3044727765174635,inconsistent
6,6,5,1.0,3.5,200,21,0.0,2.0,0.5267059844369409,0.5514692321834762,0.5232177598029664,0.5834194386379657,0.28875549002349865,0.3,0.28952349694326907,0.25070236879913305,0.31804434812422494,1.0,0.0673419793250919,0.049999999999999996,True,False,0.2,0.3,0.09999999999999998,2,False,0.014279019794524696,0.0028617531599969626,4.98960567044149,-0.5078212532929598,-0.6566933292114358,-0.28712117590986025,1.0,72.30029276910676,500,,-0.23718248749367188,0.45031287758620137,inconsistent
6,6,5,1.0,4.0,200,21,0.0,2.0,0.5877592125223768,0.616817674880688,0.5819068541856597,0.6500808654534959,0.26088496148301543,0.3,0.26207395105536274,0.20936860960090634,0.2940838104116283,0.9965,0.08471520081072195,0.049999999999999996,True,False,0.2,0.3,0.09999999999999998,2,False,0.008716213755319991,0.0030523224462293847,2.8556005824638095,-0.46626615753286027,-0.6208208724224173,-0.19476556673094836,0.9965,220.73824298331485,500,,-0.3256852614670141,0.554113409927394,inconsistent
6,6,5,1.0,4.5,200,21,0.0,2.0,0.6465147617915309,0.6778494156651185,0.636631124518003,0.7180413211242177,0.24662632760325623,0.3,,0.1487757928303226,0.285041907755596,0.954,0.1362661149252734,0.049999999999999996,False,False,0.2,0.3,0.09999999999999998,2,False,0.004518955680752481,0.00319693639023561,1.4135269298928528,-0.44594100305084433,-0.5931764004373826,-0.10533356103513918,0.954,900.8745773582338,500,low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,5,1.0,5.0,200,21,0.0,2.0,0.7032172264389943,0.7363607230413561,0.690651419515644,0.7826777075139155,0.2296214100922329,0.3,,0.10575098569519877,0.28142972426333235,0.6715,0.1756787385681336,0.049999999999999996,False,False,0.0,0.3,0.3,4,True,0.0006695401114214223,0.0031928365533019747,0.20970071603853188,-0.33661839997897436,-0.47443474689963466,-0.06103308842077098,0.6715,40932.9154407965,500,plateau_includes_U0;wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,6,1.0,0.5,200,21,0.0,2.0,0.08511770766592262,0.0887562908293555,0.08440256845928681,0.09298244491046904,0.31242045619764497,0.3,0.31242919558276727,0.3083940052258551,0.3165988992340937,1.0,0.008204894008238595,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.016873736493874043,0.00043096832828158925,39.15307781700598,-0.41523314783424115,-0.43493776719080746,-0.39527385745605365,1.0,1.1741962525606304,500,,0.22731148791684463,2.6705546254724872,inconsistent
6,6,6,1.0,1.0,200,21,0.0,2.0,0.1669984777282898,0.17774326939788837,0.16941734654370072,0.18566958776622103,0.29461550458746205,0.3,0.2946543868665434,0.2889000521673949,0.2987066623396878,1.0,0.009806610172292896,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.026881981264491532,0.0007995975786487433,33.61938803006377,-0.5813910115686395,-0.6378562968902899,-0.5537607229205433,1.0,1.5925493442219794,500,,0.1276559091382536,0.7644136094818335,inconsistent
6,6,6,1.0,1.5,200,21,0.0,2.0,0.2441326483026562,0.25844981200804573,0.24465728461016897,0.2707586676738142,0.2976163878553355,0.3,0.2975991732138805,0.2918638057574125,0.3034518047409095,1.0,0.011587998983496994,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.040559115193033894,0.0014025138017678828,28.918870632081283,-1.016249862459116,-1.0844320970033234,-0.949027843755573,1.0,2.1523349018487727,500,,0.053466524911224306,0.21900604152272485,consistent
6,6,6,1.0,2.0,200,21,0.0,2.0,0.31653696029812567,0.33357257632827264,0.3179454435064436,0.3487893370009195,0.2822668027395757,0.3,0.2821932200810596,0.2728746145071737,0.2902490087532976,1.0,0.017374394246123914,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.04117787503402725,0.001975312773254563,20.846255636863926,-1.2258282542207464,-1.3294697301477898,-1.1223781226905907,1.0,4.1420600105590974,500,,-0.03434374021706604,0.10849835729994974,consistent
6,6,6,1.0,2.5,200,21,0.0,2.0,0.38481147870949567,0.4061561317995984,0.38553339224678473,0.42594442243803415,0.26178602370678733,0.3,0.2614780624030428,0.24711358279232015,0.27353257063101366,1.0,0.02641898783869351,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.03340186429210968,0.002595904312209214,12.867140030937202,-1.1463375543456809,-1.2592169124509187,-0.9419718598916468,1.0,10.871975134080428,500,,-0.12333341630645289,0.3205034754162324,inconsistent
6,6,6,1.0,3.0,200,21,0.0,2.0,0.4495998129764454,0.4735015233673603,0.44657773773572046,0.49942326863159653,0.2230613380303794,0.2,0.2233618962545857,0.20451135052850322,0.243387289665143,1.0,0.03887593913663978,0.049999999999999996,True,False,0.2,0.3,0.09999999999999998,2,False,0.02385395383445508,0.002594881424064029,9.192695131747369,-0.999155121307169,-1.1274419969388816,-0.8676777385704459,1.0,21.30035248976048,500,,-0.22623791672185972,0.503198422668633,inconsistent
6,6,6,1.0,3.5,200,21,0.0,2.0,0.5114335159906364,0.5369335716028008,0.5082305043259284,0.567794991016396,0.19806440700565212,0.2,0.1973011917870352,0.1687965363405445,0.21754273158607357,1.0,0.04874619524552906,0.049999999999999996,True,False,0.1,0.2,0.1,2,False,0.017760652617102274,0.002601339302239387,6.827503279488705,-0.9016705709172359,-1.1468551639331481,-0.7800192809748501,1.0,38.61434480405459,500,,-0.31413232420360115,0.6142192765664433,inconsistent
6,6,6,1.0,4.0,200,21,0.0,2.0,0.570723012074373,0.5997660116826953,0.5640779791295106,0.6342480268850348,0.17279532177603565,0.2,0.1725215945211213,0.14681748203839198,0.19433928706297732,1.0,0.047521805024585334,0.049999999999999996,True,False,0.1,0.2,0.1,2,False,0.012171711544737973,0.002705291448476042,4.499223753357369,-0.8727216367533588,-1.0664995149065157,-0.6805521563675923,1.0,88.91956335967551,500,,-0.3982014175532517,0.6977139682977433,inconsistent
6,6,6,1.0,4.5,200,21,0.0,2.0,0.6277827694285665,0.6576458796427851,0.6185417530147924,0.7000813175416762,0.1619952087827234,0.2,0.16012000553333716,0.1320160976789328,0.18611002258744064,1.0,0.05409392490850784,0.049999999999999996,True,False,0.1,0.2,0.1,2,False,0.010176886120689383,0.0027570627163798858,3.691205883793594,-0.7803749321556468,-1.0678603969867637,-0.6550094496413924,1.0,132.1100832439327,500,,-0.4676627638952293,0.7449436121365915,inconsistent
6,6,6,1.0,5.0,200,21,0.0,2.0,0.682856702972147,0.7159695169522453,0.6696747962151446,0.7610214726219161,0.14399296154526847,0.1,0.1446723862680402,0.11384446006973176,0.1741458564082244,1.0,0.06030139633849263,0.049999999999999996,True,False,0.1,0.2,0.1,2,False,0.00801600943111814,0.001992886212623871,4.022311650480091,-0.8167276561995331,-1.0228535890482888,-0.5752622093488101,1.0,111.25539277994996,500,,-0.5381843167041067,0.788136536350378,inconsistent
