L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,5,2,0.625,5.0,fres_l1.0,1.0,0.21808530805688778
8,5,2,0.625,5.0,fres_l2.0,1.0,0.4228175355450378
8,6,2,0.75,5.0,onsite_pair_density,10.0,0.42752705279131
8,6,2,0.75,5.0,onsite_pair_variance,1.0,1.6034052934396
8,6,2,0.75,5.0,charge_fluctuation,2.0,0.470049683001672
8,6,2,0.75,5.0,fock_entropy_normalized,1.0,0.7030896393806441
8,6,2,0.75,5.0,pr_normalized,1.0,0.0862089231409252
8,6,2,0.75,5.0,Nres_mean_l1.0,1.0,1.70934693877578
8,6,2,0.75,5.0,Nres_mean_l2.0,1.0,3.2448877551019604
8,6,2,0.75,5.0,fres_l1.0,1.0,0.2352752808989082
