task_index,L,N,nmax,W_over_t,realization_start,realization_stop,realizations_in_block,U_points,U_values_over_t_json,core_hash
54,7,7,7,2.0,128,136,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
55,7,7,7,2.0,136,144,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
56,7,7,7,2.0,144,152,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
57,7,7,7,2.0,152,160,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
58,7,7,7,2.0,160,168,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
59,7,7,7,2.0,168,176,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
60,7,7,7,2.0,176,184,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
61,7,7,7,2.0,184,192,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
62,7,7,7,2.0,192,200,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
63,7,7,7,2.0,200,208,8,11,"[0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0]",ff59bf2549688c9be2c172e7eb9be253bc919fbef12cde09b70f0737e14e25e9
