L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,5,1.2,0.825,200,0.7729386013541312,0.002417968028407615
6,6,5,1.2,0.85,200,0.7618773587065888,0.0024639807189659707
6,6,5,1.2,0.875,200,0.7508262594558006,0.002505416639374802
6,6,5,1.2,0.9,200,0.739800362558649,0.0025424637882459763
6,6,5,1.2,0.925,200,0.7288131779724983,0.0025753065623797286
6,6,5,1.2,0.95,200,0.7178768038782087,0.002604124516236111
6,6,5,1.2,0.975,200,0.707002055596422,0.0026290916248009753
6,6,5,1.2,1.0,200,0.6961985857296827,0.0026503759280886168
6,6,5,1.3,0.0,200,0.9171354487711766,0.0027757454689570147
6,6,5,1.3,0.025,200,0.9254232333519112,0.0026390884126342696
6,6,5,1.3,0.05,200,0.9328537167813675,0.0024924037970257234
6,6,5,1.3,0.075,200,0.9393785523068248,0.0023369141504019277
6,6,5,1.3,0.1,200,0.9449579442458846,0.0021741480638551624
6,6,5,1.3,0.125,200,0.9495615266953646,0.002005962491988347
6,6,5,1.3,0.15,200,0.9531689382772001,0.001834582050276313
6,6,5,1.3,0.175,200,0.9557700710971259,0.00166267078813628
6,6,5,1.3,0.2,200,0.9573649935256556,0.001493458466029585
6,6,5,1.3,0.225,200,0.9579635665204356,0.001330947875347182
6,6,5,1.3,0.25,200,0.9575847901367692,0.0011802183495200024
6,6,5,1.3,0.275,200,0.9562559293741967,0.00104776978890781
6,6,5,1.3,0.3,200,0.9540114760088724,0.0009416269469215316
6,6,5,1.3,0.325,200,0.9508920056076324,0.0008704978999916686
6,6,5,1.3,0.35,200,0.9469429870418489,0.0008411771359379284
6,6,5,1.3,0.375,200,0.9422135963797034,0.0008549848626225585
6,6,5,1.3,0.4,200,0.9367555790702705,0.0009065078639098607
6,6,5,1.3,0.425,200,0.930622194912672,0.000986292559795208
6,6,5,1.3,0.45,200,0.9238672704226681,0.0010846657007522677
6,6,5,1.3,0.475,200,0.9165443737033462,0.0011938227607833788
6,6,5,1.3,0.5,200,0.9087061184244069,0.0013081518425574492
6,6,5,1.3,0.525,200,0.9004035964188717,0.0014238198380696467
6,6,5,1.3,0.55,200,0.8916859329046506,0.0015382624511644173
6,6,5,1.3,0.575,200,0.882599954436809,0.0016497809524560522
6,6,5,1.3,0.6,200,0.8731899572633677,0.0017572621878285555
6,6,5,1.3,0.625,200,0.8634975625753064,0.001859991960812194
6,6,5,1.3,0.65,200,0.8535616449516159,0.0019575312198905157
6,6,5,1.3,0.675,200,0.8434183208403513,0.0020496329630658163
6,6,5,1.3,0.7,200,0.8331009849459008,0.0021361854483825217
6,6,5,1.3,0.725,200,0.8226403837067562,0.002217172605601201
6,6,5,1.3,0.75,200,0.8120647164849675,0.0022926459162655377
6,6,5,1.3,0.775,200,0.8013997565284385,0.002362704114878121
6,6,5,1.3,0.8,200,0.7906689851285429,0.002427478349966141
6,6,5,1.3,0.825,200,0.7798937336284537,0.002487121243977188
6,6,5,1.3,0.85,200,0.7690933290175823,0.0025417987962214465
6,6,5,1.3,0.875,200,0.7582852397686571,0.0025916843978385697
6,6,5,1.3,0.9,200,0.7474852193430286,0.0026369544404780485
6,6,5,1.3,0.925,200,0.7367074454212791,0.002677785142400575
6,6,5,1.3,0.95,200,0.7259646534284468,0.0027143503123872245
6,6,5,1.3,0.975,200,0.7152682633353794,0.002746819838992936
6,6,5,1.3,1.0,200,0.7046284990481453,0.0027753587403369045
6,6,5,1.4,0.0,200,0.9066895123598948,0.0030808074607919125
6,6,5,1.4,0.025,200,0.9153208702837713,0.0029456211231682398
6,6,5,1.4,0.05,200,0.92313625481621,0.002799513123778494
6,6,5,1.4,0.075,200,0.9300862029694794,0.0026435948012978024
6,6,5,1.4,0.1,200,0.9361291274201841,0.00247927123788198
6,6,5,1.4,0.125,200,0.9412322134900836,0.002308253163109612
6,6,5,1.4,0.15,200,0.9453720404501191,0.0021325769318271673
6,6,5,1.4,0.175,200,0.9485349036391247,0.001954642311067574
6,6,5,1.4,0.2,200,0.95071683322804,0.0017772817074710706
6,6,5,1.4,0.225,200,0.9519233237969441,0.0016038779283486842
6,6,5,1.4,0.25,200,0.9521688045739178,0.0014385460442138864
6,6,5,1.4,0.275,200,0.9514758921031179,0.0012863739766245828
6,6,5,1.4,0.3,200,0.949874474738906,0.0011536402494169002
6,6,5,1.4,0.325,200,0.9474006816995382,0.0010477400387774627
6,6,5,1.4,0.35,200,0.9440957888576013,0.0009762823173776559
6,6,5,1.4,0.375,200,0.9400051096650262,0.0009449114598534953
6,6,5,1.4,0.4,200,0.935176913424394,0.0009546246915527168
6,6,5,1.4,0.425,200,0.9296614053854739,0.0010008535157254967
6,6,5,1.4,0.45,200,0.9235097946900876,0.0010754177674591123
6,6,5,1.4,0.475,200,0.9167734677361019,0.0011695283419679132
6,6,5,1.4,0.5,200,0.9095032766697392,0.0012757092622264353
6,6,5,1.4,0.525,200,0.9017489458675593,0.001388326231492682
6,6,5,1.4,0.55,200,0.8935585936883222,0.0015033807465700552
6,6,5,1.4,0.575,200,0.8849783625551345,0.0016181143188593778
6,6,5,1.4,0.6,200,0.8760521475323856,0.0017306510440474776
6,6,5,1.4,0.625,200,0.8668214118560097,0.0018397300500709677
6,6,5,1.4,0.65,200,0.8573250771666295,0.001944518245557144
6,6,5,1.4,0.675,200,0.8475994762656742,0.002044481928661404
6,6,5,1.4,0.7,200,0.8376783568495472,0.002139298687179671
6,6,5,1.4,0.725,200,0.8275929256820211,0.002228796301830128
6,6,5,1.4,0.75,200,0.8173719238768342,0.0023129097541141727
6,6,5,1.4,0.775,200,0.8070417252520659,0.0023916505072773164
6,6,5,1.4,0.8,200,0.7966264509902113,0.0024650842437826063
6,6,5,1.4,0.825,200,0.7861480950281873,0.002533314538897222
6,6,5,1.4,0.85,200,0.7756266556706786,0.0025964707819010747
6,6,5,1.4,0.875,200,0.7650802698494935,0.0026546991941163523
6,6,5,1.4,0.9,200,0.7545253472375382,0.002708156144574242
6,6,5,1.4,0.925,200,0.7439767020758998,0.0027570031972706027
6,6,5,1.4,0.95,200,0.733447681100227,0.0028014034808115378
6,6,5,1.4,0.975,200,0.7229502863753752,0.002841519078358472
6,6,5,1.4,1.0,200,0.7124952921832355,0.002877509210063876
6,6,5,1.5,0.0,200,0.8960673076121097,0.003382066513050027
6,6,5,1.5,0.025,200,0.9049992963178167,0.0032494114174009972
6,6,5,1.5,0.05,200,0.9131553936575411,0.0031050414271635283
6,6,5,1.5,0.075,200,0.9204854417680005,0.002949958682332774
6,6,5,1.5,0.1,200,0.9269465293534551,0.0027854498422160093
6,6,5,1.5,0.125,200,0.9325038933612154,0.0026130919448776164
6,6,5,1.5,0.15,200,0.9371315704409057,0.002434760925150684
6,6,5,1.5,0.175,200,0.9408127740038252,0.0022526492568005047
6,6,5,1.5,0.2,200,0.9435399902002947,0.0020693016331243615
6,6,5,1.5,0.225,200,0.9453148028182494,0.0018876799421513226
6,6,5,1.5,0.25,200,0.9461474715014941,0.0017112693643695311
6,6,5,1.5,0.275,200,0.9460562988169534,0.0015442310523874358
6,6,5,1.5,0.3,200,0.9450668291148859,0.0013915802357046861
6,6,5,1.5,0.325,200,0.9432109258234352,0.0012592953311246124
6,6,5,1.5,0.35,200,0.9405257741321061,0.001154118273694159
6,6,5,1.5,0.375,200,0.9370528534920544,0.0010826561068456827
6,6,5,1.5,0.4,200,0.9328369196461799,0.0010495743023086397
6,6,5,1.5,0.425,200,0.9279250296813136,0.0010555732876623596
6,6,5,1.5,0.45,200,0.9223656365277896,0.001096731890945554
6,6,5,1.5,0.475,200,0.9162077720175824,0.0011659544725263723
6,6,5,1.5,0.5,200,0.9095003305615864,0.0012553216921337357
6,6,5,1.5,0.525,200,0.9022914591208812,0.0013577875522858187
6,6,5,1.5,0.55,200,0.8946280537050035,0.0014678116280065728
6,6,5,1.5,0.575,200,0.8865553582868079,0.0015813169186655728
6,6,5,1.5,0.6,200,0.8781166588175436,0.001695404823934941
6,6,5,1.5,0.625,200,0.8693530629009719,0.0018080525376057664
6,6,5,1.5,0.65,200,0.8603033545165126,0.001917866962983171
6,6,5,1.5,0.675,200,0.8510039128031706,0.002023903091906325
6,6,5,1.5,0.7,200,0.8414886841484184,0.0021255348604790752
6,6,5,1.5,0.725,200,0.8317891974950302,0.0022223642537228033
6,6,5,1.5,0.75,200,0.821934613728325,0.0023141571439262583
6,6,5,1.5,0.775,200,0.8119518011064082,0.0024007975837361936
6,6,5,1.5,0.8,200,0.8018654298442911,0.0024822548663798122
6,6,5,1.5,0.825,200,0.7916980800835297,0.002558559504525044
6,6,5,1.5,0.85,200,0.7814703585202518,0.0026297855247267524
6,6,5,1.5,0.875,200,0.7712010198945393,0.0026960373037711303
6,6,5,1.5,0.9,200,0.760907090347835,0.002757439724255407
6,6,5,1.5,0.925,200,0.7506039903298959,0.002814130794689601
6,6,5,1.5,0.95,200,0.7403056552893988,0.0028662561272314135
6,6,5,1.5,0.975,200,0.7300246528252834,0.0029139648347795443
6,6,5,1.5,1.0,200,0.7197722953250851,0.002957406525105574
6,6,5,1.6,0.0,200,0.8853250053729359,0.003677869945208844
6,6,5,1.6,0.025,200,0.8945180070778739,0.0035486350002565626
6,6,5,1.6,0.05,200,0.9029737314625734,0.0034069900852429463
6,6,5,1.6,0.075,200,0.9106416819032214,0.003253830975529995
6,6,5,1.6,0.1,200,0.9174780281314271,0.003090330358401262
6,6,5,1.6,0.125,200,0.9234465021561097,0.002917940283594536
6,6,5,1.6,0.15,200,0.9285190665382146,0.0027383938945090107
6,6,5,1.6,0.175,200,0.9326763308770822,0.0025537109423712807
6,6,5,1.6,0.2,200,0.9359077082970892,0.0023662132286559937
6,6,5,1.6,0.225,200,0.93821131893151,0.0021785576984061144
6,6,5,1.6,0.25,200,0.9395936605593157,0.0019937957460069763
6,6,5,1.6,0.275,200,0.9400690768061065,0.001815465384871773
6,6,5,1.6,0.3,200,0.939659060301193,0.0016477131083812593
6,6,5,1.6,0.325,200,0.938391431919922,0.0014954134241751361
6,6,5,1.6,0.35,200,0.9362994380455376,0.0013641890592049895
6,6,5,1.6,0.375,200,0.9334208061312175,0.0012601296395215633
6,6,5,1.6,0.4,200,0.9297967952705403,0.0011889393169379806
6,6,5,1.6,0.425,200,0.9254712735396647,0.0011544519121924012
6,6,5,1.6,0.45,200,0.9204898480749603,0.0011571039210584702
6,6,5,1.6,0.475,200,0.9148990676682743,0.0011934758374138343
6,6,5,1.6,0.5,200,0.9087457115140066,0.0012573867250312476
6,6,5,1.6,0.525,200,0.9020761719760239,0.0013417358352588891
6,6,5,1.6,0.55,200,0.8949359341279793,0.0014399618861146038
6,6,5,1.6,0.575,200,0.8873691505405525,0.0015467068245740585
6,6,5,1.6,0.6,200,0.8794183064362775,0.0016578924786426153
6,6,5,1.6,0.625,200,0.8711239679155989,0.0017705342528397804
6,6,5,1.6,0.65,200,0.8625246044153875,0.0018824962228133283
