L,N,nmax,observable,Wmin,Wmax,n_points,intercept_b,slope_c,cov_bb,cov_bc,cov_cc,slope_ci_low,slope_ci_high,R2,RMSE,eta_to_M,eta_ci_low,eta_ci_high,bootstrap_valid
7,4,4,S2_graph_per_edge,0.8,2.5,17,0.0032858123134381907,0.03284884531829901,1.350554098973988e-06,-7.33527785385233e-07,4.314869325795488e-07,0.025388674788474185,0.06513723848232245,0.9940375946159072,0.0012463358124062628,0.1633763283632052,0.12594608941065644,0.3233923791275133,1000
7,4,4,S2_graph_per_edge,1.0,2.5,16,0.0029459940977619977,0.03301875442613709,1.7763483402687206e-06,-9.491937696092399e-07,5.423964397767084e-07,0.024800714114328368,0.06518899027636842,0.993083138154689,0.0012702871361765843,0.16529394227084754,0.1244889097581519,0.3304144942783741,1000
7,4,4,S2_graph_per_edge,1.2,2.5,14,0.0030796113936931526,0.032955249535746974,3.3509092813757778e-06,-1.72920004757188e-06,9.347027284172324e-07,0.024801100159781243,0.06728120182108537,0.9897778260355198,0.0013500630801609246,0.16715226246536138,0.1245655656876026,0.34381089052657293,1000
7,4,4,S2_graph_per_edge,1.4,2.5,12,0.005827271748993813,0.031655027473392806,4.975499744515178e-06,-2.474005397825226e-06,1.2687207168334493e-06,0.02417456304990701,0.06979170905921449,0.9874969375787876,0.001229590251896892,0.16267923578814616,0.12479446849309894,0.36180368434301796,1000
7,5,5,M_existing,0.8,2.5,18,0.025340797162659866,0.17729207198334684,4.873308603128044e-06,-2.6877858033965255e-06,1.628961092967591e-06,0.16949673523056238,0.185212827017184,0.999171500785057,0.0026486586115202593,1.0,1.0,1.0,1000
7,5,5,M_existing,1.0,2.5,16,0.029792167628064234,0.17504766230991423,4.680603452054512e-06,-2.5010858140749295e-06,1.4291918937571023e-06,0.16706203764022226,0.1831524159500688,0.9993474369903561,0.0020620004568203615,1.0,1.0,1.0,1000
7,5,5,M_existing,1.2,2.5,14,0.03434706294238178,0.17282569360254463,4.3905151040956905e-06,-2.2656772503701615e-06,1.2246904056054927e-06,0.16482090238764194,0.18109630872632043,0.9995082126974505,0.0015453628347189895,1.0,1.0,1.0,1000
7,5,5,M_existing,1.4,2.5,12,0.038963854132781174,0.1706444426200038,4.015332460543382e-06,-1.9965741516514048e-06,1.0238841803340538e-06,0.1626169280103113,0.17910332802437626,0.9996485092849096,0.0011045943365016026,1.0,1.0,1.0,1000
7,5,5,S2_existing,0.8,2.5,18,0.02183466047924213,0.18139589950935242,3.7348082729796725e-06,-2.0598664012534127e-06,1.2484038795475227e-06,0.17399504818084124,0.18916585929826218,0.9993933242923889,0.0023187193393303697,1.0231472703776119,1.020460406590111,1.0261573692617512,1000
7,5,5,S2_existing,1.0,2.5,16,0.025715616031190484,0.17943911591135123,3.613058237794232e-06,-1.930641806454933e-06,1.1032238894028188e-06,0.17186711994446155,0.18730327733375035,0.9995205435379716,0.001811654236043232,1.0250871879320622,1.0221574080513844,1.0284282579478947,1000
7,5,5,S2_existing,1.2,2.5,14,0.029705101873368743,0.17749298286486162,3.4119597943744527e-06,-1.760704496399648e-06,9.51732160216026e-07,0.1697389785563661,0.1854398232001642,0.9996376100021515,0.0013623060274480367,1.0270057603416918,1.0238026808512053,1.0307000554682648,1000
7,5,5,S2_existing,1.4,2.5,12,0.033763832947508864,0.1755754028321028,3.1432091609924342e-06,-1.562921682261431e-06,8.014982985956057e-07,0.16756405515216696,0.18366520251704177,0.9997400664396887,0.0009773017987430655,1.0288961078157077,1.0253249454712516,1.0329494126168504,1000
7,6,6,M_existing,0.8,2.5,18,0.02261243930962486,0.1580110923017929,3.730476987687102e-06,-2.0574775586686524e-06,1.2469560961628195e-06,0.15107124757143994,0.1648336232323449,0.9992015474857,0.0023173744311485813,1.0,1.0,1.0,1000
7,6,6,M_existing,1.0,2.5,16,0.0265258194816175,0.15603792140097295,3.5523952840670654e-06,-1.898226487669424e-06,1.0847008500968136e-06,0.14904720195975432,0.16301818410519014,0.9993766859488351,0.0017963810923737817,1.0,1.0,1.0,1000
7,6,6,M_existing,1.2,2.5,14,0.03050907492822424,0.15409479062468137,3.304686729626689e-06,-1.705347405804568e-06,9.218094085430097e-07,0.14699331075677732,0.1611239377034159,0.999534366520207,0.001340719339257426,1.0,1.0,1.0,1000
7,6,6,M_existing,1.4,2.5,12,0.03452455663584529,0.15219760411416022,3.0001056344928895e-06,-1.4917652326207734e-06,7.650078116003967e-07,0.14499099702104215,0.15924942500102066,0.9996698533965593,0.0009547954277350762,1.0,1.0,1.0,1000
7,6,6,S2_existing,0.8,2.5,18,0.019585891139310568,0.1616036654218002,2.900651883447566e-06,-1.5998024315393261e-06,9.69577231235955e-07,0.15479357494843823,0.16851594882647591,0.9994063341400881,0.002043439733029298,1.0227362083741924,1.0200253352202027,1.0255241191201778,1000
