L,nmax,U,W,N0,A,B,n_N
7,4,3.0,2.0,6.0,0.6518750552224207,0.001041153017321994,3
7,4,3.0,3.0,6.0,0.6107218491449246,0.0050701212932159345,3
7,4,3.0,4.0,6.0,0.5740544210907347,0.010088082615444971,3
7,4,3.0,5.0,6.0,0.5362932856856261,0.009275667660053943,3
7,4,3.0,6.0,6.0,0.5002493391459607,0.016138888613940028,3
7,4,3.0,7.0,6.0,0.4659469346551653,0.013311467702466023,3
7,4,3.0,8.0,6.0,0.43530636589259936,0.014080878746137032,3
7,4,3.0,9.0,6.0,0.4049830303278286,0.015324064381793984,3
7,4,3.0,10.0,6.0,0.38232171304852197,0.01765449654587803,3
7,4,3.0,11.0,6.0,0.3538694639763733,0.017923484687632996,3
7,4,3.0,12.0,6.0,0.33830328090958933,0.01685688050897799,3
7,4,3.0,13.0,6.0,0.31847041834706336,0.013848788433517,3
7,4,3.0,14.0,6.0,0.3026487580965774,0.012599436203930975,3
7,4,3.0,15.0,6.0,0.28743124909544543,0.012594010506330855,3
7,4,4.0,1.0,6.0,0.6112967899659113,-0.01711936951051002,3
7,4,4.0,2.0,6.0,0.5472337501331568,-0.009942740340938061,3
7,4,4.0,3.0,6.0,0.49572163721016266,-0.0061602825124459915,3
7,4,4.0,4.0,6.0,0.46420498503647734,-0.004747200480413966,3
7,4,4.0,5.0,6.0,0.43683175541397934,-0.003295228633130004,3
7,4,4.0,6.0,6.0,0.4118534524318027,-0.0014246668267900442,3
7,4,4.0,7.0,6.0,0.38964061067566136,0.0028918270162070214,3
7,4,4.0,8.0,6.0,0.367263923613762,0.007224155306738034,3
7,4,4.0,9.0,6.0,0.3491872789554787,0.008450634212243013,3
7,4,4.0,10.0,6.0,0.332119214671238,0.00990904675652396,3
7,4,4.0,11.0,6.0,0.3146466511930453,0.010012175382422023,3
7,4,4.0,12.0,6.0,0.29782917853462937,0.010845416907772992,3
7,4,4.0,13.0,6.0,0.2855589552035573,0.010470210291097987,3
7,4,4.0,14.0,6.0,0.27562709534287805,0.005924494942688041,3
7,4,4.0,15.0,6.0,0.26111834528568467,0.010312656243218005,3
7,4,5.0,1.0,6.0,0.5637993063119954,-0.026827815816345968,3
7,4,5.0,2.0,6.0,0.47937265759691533,-0.018879179246810984,3
7,4,5.0,3.0,6.0,0.42487145120530534,-0.013778316204274027,3
7,4,5.0,4.0,6.0,0.38474004845780935,-0.01374431387580699,3
7,4,5.0,5.0,6.0,0.35985984594960135,-0.011306862239338022,3
7,4,5.0,6.0,6.0,0.343259158867734,-0.00839085065012296,3
7,4,5.0,7.0,6.0,0.327304646585536,-0.005167049651028016,3
7,4,5.0,8.0,6.0,0.31426037554537,-0.00276663463009999,3
7,4,5.0,9.0,6.0,0.29913935687761334,-0.0026217682820499633,3
7,4,5.0,10.0,6.0,0.2863672214540553,0.0013977617468629855,3
7,4,5.0,11.0,6.0,0.27485959262687465,0.0021622287679110286,3
7,4,5.0,12.0,6.0,0.26350120032652063,0.003045036067422985,3
7,4,5.0,13.0,6.0,0.2529423897904733,0.005934362078984012,3
7,4,5.0,14.0,6.0,0.24407839204982398,0.00545247585971298,3
7,4,5.0,15.0,6.0,0.237261171409162,0.006103986219526014,3
7,4,6.0,1.0,6.0,0.534968322812344,-0.032919663304876945,3
7,4,6.0,2.0,6.0,0.4456601628921393,-0.02589558174985801,3
7,4,6.0,3.0,6.0,0.3793116949264574,-0.017489783229197003,3
7,4,6.0,4.0,6.0,0.33931873809463803,-0.01777372199237498,3
7,4,6.0,5.0,6.0,0.31143179948187866,-0.011089971946094984,3
7,4,6.0,6.0,6.0,0.2936652144657466,-0.011887619235095986,3
7,4,6.0,7.0,6.0,0.2813982798802953,-0.007985433784583995,3
7,4,6.0,8.0,6.0,0.271217099347,-0.007429465713949979,3
7,4,6.0,9.0,6.0,0.26261442458117595,-0.0050315743813189595,3
7,4,6.0,10.0,6.0,0.25189433012415935,-0.0044327683155189895,3
7,4,6.0,11.0,6.0,0.24249701761969866,-0.0030232081006539985,3
7,4,6.0,12.0,6.0,0.2348477750711527,-0.0016291214145130045,3
7,4,6.0,13.0,6.0,0.22681372775778938,0.0019424325844260015,3
7,4,6.0,14.0,6.0,0.22104933427357135,-0.0005882991352369887,3
7,4,6.0,15.0,6.0,0.21311133499011067,0.0005381558231999789,3
7,4,7.0,1.0,6.0,0.5117742794391047,-0.03668207528150591,3
7,4,7.0,2.0,6.0,0.42176185643705466,-0.030945054183673965,3
7,4,7.0,3.0,6.0,0.3553220181314793,-0.025918097132508006,3
7,4,7.0,4.0,6.0,0.307601058534214,-0.019972382117143,3
7,4,7.0,5.0,6.0,0.279846591933468,-0.016794800073023003,3
7,4,7.0,6.0,6.0,0.25875584726861534,-0.014986465715682032,3
7,4,7.0,7.0,6.0,0.24451700958286468,-0.011919510198828975,3
7,4,7.0,8.0,6.0,0.23533433952842797,-0.009118230560703003,3
7,4,7.0,9.0,6.0,0.23078629130781803,-0.008054281491019985,3
7,4,7.0,10.0,6.0,0.22569990395187334,-0.007565136711437978,3
