L,N,nmax,W_over_t,U_over_t,observable,mean,stderr,n_disorder
7,6,6,0.4,0.145,Sstar,1.5040266037141228,0.0021036141469300803,30
7,6,6,0.4,0.15,Sstar,1.5032773751661128,0.0021573130681111657,30
7,6,6,0.4,0.155,Sstar,1.5021020639914204,0.002026994399582768,30
7,6,6,0.4,0.16,Sstar,1.501638578330247,0.0019647434872791807,30
7,6,6,0.4,0.165,Sstar,1.50122649832908,0.00190286372426363,30
7,6,6,0.4,0.17,Sstar,1.5007307973534145,0.001876626257348569,30
7,6,6,0.4,0.17500000000000002,Sstar,1.4999917401064484,0.0018869771239943198,30
7,6,6,0.4,0.18,Sstar,1.4987037461151977,0.0018208757484140107,30
7,6,6,0.4,0.185,Sstar,1.4978293088635917,0.0018172680666517207,30
7,6,6,0.4,0.19,Sstar,1.497474509635668,0.001809524905577164,30
7,6,6,0.4,0.195,Sstar,1.4975996598728145,0.001744572689351764,30
7,6,6,0.4,0.2,Sstar,1.4972815679186569,0.0017977448343260815,30
7,6,6,0.4,0.20500000000000002,Sstar,1.4966718730703297,0.0016869171824820412,30
7,6,6,0.4,0.21,Sstar,1.4963170549363183,0.0017191505409053307,30
7,6,6,0.4,0.215,Sstar,1.4958493586412314,0.0017406225468495002,30
7,6,6,0.4,0.22,Sstar,1.495516897484524,0.0017260684788497147,30
7,6,6,0.4,0.225,Sstar,1.4950194687121652,0.001771094024695573,30
7,6,6,0.4,0.23,Sstar,1.4948747615123748,0.0017584180920838638,30
7,6,6,0.4,0.23500000000000001,Sstar,1.4942254383613904,0.0018293155282707184,30
7,6,6,0.4,0.24,Sstar,1.4942274836398453,0.0017801842902830374,30
7,6,6,0.4,0.245,Sstar,1.4933184376311586,0.0017233731683119569,30
7,6,6,0.4,0.25,Sstar,1.4930108191466307,0.001702315098499821,30
7,6,6,0.4,0.255,Sstar,1.4923702479548384,0.0016416800964558877,30
7,6,6,0.4,0.26,Sstar,1.4925282553656996,0.0016306001823489433,30
7,6,6,0.4,0.265,Sstar,1.4920090447303311,0.0016073724411345054,30
7,6,6,0.4,0.27,Sstar,1.4914568482243993,0.0016430962378304276,30
7,6,6,0.4,0.275,Sstar,1.4912997323041857,0.001663996197863779,30
7,6,6,0.4,0.28,Sstar,1.4905085485605847,0.001598450246074011,30
7,6,6,0.4,0.28500000000000003,Sstar,1.4901163904005779,0.0015509004224217035,30
7,6,6,0.4,0.29,Sstar,1.4895012120672466,0.0014663577908351415,30
7,6,6,0.4,0.295,Sstar,1.488794767102695,0.0014442208975565933,30
7,6,6,0.4,0.3,Sstar,1.4884408532088536,0.0013721278762999197,30
7,6,6,0.4,0.305,Sstar,1.4881381637907063,0.0013425638854196104,30
7,6,6,0.4,0.31,Sstar,1.4880338060654446,0.0013187431097600843,30
7,6,6,0.4,0.315,Sstar,1.4878838336126334,0.0012890987068752025,30
7,6,6,0.4,0.32,Sstar,1.487279607645276,0.0013001196704015374,30
7,6,6,0.4,0.325,Sstar,1.4872324700172228,0.0012876606887923477,30
7,6,6,0.4,0.33,Sstar,1.4870125694872314,0.0012980389485155138,30
7,6,6,0.4,0.335,Sstar,1.4865278527022248,0.001314911850089105,30
7,6,6,0.4,0.34,Sstar,1.4856143318927968,0.0012328595423896495,30
7,6,6,0.4,0.34500000000000003,Sstar,1.4850708889089081,0.0011086187878164946,30
7,6,6,0.4,0.35000000000000003,Sstar,1.4846379612863507,0.0011999538371444886,30
7,6,6,0.4,0.355,Sstar,1.4843929774916529,0.0012485311829923617,30
7,6,6,0.4,0.36,Sstar,1.4839329247565185,0.0012969257411120803,30
7,6,6,0.4,0.365,Sstar,1.48345082537636,0.0013660088783083496,30
7,6,6,0.4,0.37,Sstar,1.4828463479569733,0.0014148799201001414,30
7,6,6,0.4,0.375,Sstar,1.4822766978107458,0.001456000254494445,30
7,6,6,0.4,0.38,Sstar,1.4816717912839994,0.0014177763035564817,30
7,6,6,0.4,0.385,Sstar,1.4811157838849733,0.0014405977993600287,30
7,6,6,0.4,0.39,Sstar,1.480848571009983,0.0013650717623269995,30
7,6,6,0.4,0.395,Sstar,1.4805724590086755,0.001391382693319748,30
7,6,6,0.4,0.4,Sstar,1.4797211068599962,0.0014574132326759112,30
7,6,6,0.4,0.405,Sstar,1.4792657841490404,0.0014131001900899614,30
7,6,6,0.4,0.41000000000000003,Sstar,1.4786841561590127,0.0014124658717743436,30
7,6,6,0.4,0.41500000000000004,Sstar,1.4781796453765792,0.0014354392476320051,30
7,6,6,0.4,0.42,Sstar,1.477433744542292,0.0013770998297509083,30
7,6,6,0.4,0.425,Sstar,1.4765071685203708,0.0014584144347139982,30
7,6,6,0.4,0.43,Sstar,1.4762571761979362,0.001398973172652589,30
7,6,6,0.4,0.435,Sstar,1.4759933203617315,0.0013554705000071593,30
7,6,6,0.4,0.44,Sstar,1.4757127807785568,0.001301948357657539,30
7,6,6,0.4,0.445,Sstar,1.4753894804304468,0.0013322995252902023,30
7,6,6,0.4,0.45,Sstar,1.4749961829574152,0.0013798491550245505,30
7,6,6,0.4,0.455,Sstar,1.4743832123472287,0.00142277211449751,30
7,6,6,0.4,0.46,Sstar,1.4740702773391292,0.0013779427372237001,30
7,6,6,0.4,0.465,Sstar,1.4733404186229364,0.0014107768828273974,30
7,6,6,0.4,0.47000000000000003,Sstar,1.4727703718950094,0.0013587914495261475,30
7,6,6,0.4,0.47500000000000003,Sstar,1.4720980112882454,0.0014193187199072232,30
7,6,6,0.4,0.48,Sstar,1.471614166443563,0.0014790760700282392,30
7,6,6,0.4,0.485,Sstar,1.4712131727090565,0.0014814592390164022,30
7,6,6,0.4,0.49,Sstar,1.4703557859555467,0.0014543668098994137,30
7,6,6,0.4,0.495,Sstar,1.469756343059572,0.0014771300936967382,30
7,6,6,0.4,0.5,Sstar,1.4688926416375225,0.0014799454729286755,30
7,6,6,0.4,0.505,Sstar,1.4682486815365696,0.0015177151655779745,30
7,6,6,0.4,0.51,Sstar,1.467708415934432,0.0015012357742179106,30
7,6,6,0.4,0.515,Sstar,1.4669928468913234,0.0015122376772699786,30
7,6,6,0.4,0.52,Sstar,1.4664921096715788,0.0014963842000989879,30
7,6,6,0.4,0.525,Sstar,1.4656382743041356,0.001496586166324705,30
7,6,6,0.4,0.53,Sstar,1.4651496790269538,0.0015127176939954625,30
7,6,6,0.4,0.535,Sstar,1.4643731964699394,0.001454275775619346,30
7,6,6,0.4,0.54,Sstar,1.4635863664032913,0.0014601176595089504,30
7,6,6,0.4,0.545,Sstar,1.4627127305642922,0.001525780981590036,30
7,6,6,0.4,0.55,Sstar,1.462111639058027,0.0015154685446333797,30
7,6,6,0.4,0.555,Sstar,1.4614624802996772,0.0015256855518902275,30
7,6,6,0.4,0.56,Sstar,1.4608711179615852,0.0015590968838191104,30
7,6,6,0.4,0.5650000000000001,Sstar,1.4603667397543325,0.001615802299462564,30
7,6,6,0.4,0.5700000000000001,Sstar,1.4595067604070162,0.0016011249590058164,30
7,6,6,0.4,0.5750000000000001,Sstar,1.4589698478523576,0.0015980726003858253,30
7,6,6,0.4,0.58,Sstar,1.4583116580815074,0.001614789945595582,30
7,6,6,0.4,0.585,Sstar,1.4576013621479207,0.0016888735905876526,30
7,6,6,0.4,0.59,Sstar,1.4566669369319898,0.0016638180903560088,30
7,6,6,0.4,0.595,Sstar,1.4559919569880975,0.0016781744156417024,30
7,6,6,0.4,0.6,Sstar,1.4550665773053166,0.0016853792779332728,30
7,6,6,0.5,0.0,M_sum,6.219385829735619,0.026802904305850014,30
7,6,6,0.5,0.005,M_sum,6.225782845489652,0.026465571462717132,30
7,6,6,0.5,0.01,M_sum,6.217982695727319,0.026703834154862712,30
7,6,6,0.5,0.015,M_sum,6.220362682434856,0.027239539527578432,30
7,6,6,0.5,0.02,M_sum,6.206280081280242,0.026957792380663263,30
7,6,6,0.5,0.025,M_sum,6.199703802714387,0.027877252374848793,30
7,6,6,0.5,0.03,M_sum,6.198858842238205,0.027546648848298973,30
7,6,6,0.5,0.035,M_sum,6.197432546050461,0.029471713736177872,30
7,6,6,0.5,0.04,M_sum,6.188132369470367,0.028895548395764446,30
7,6,6,0.5,0.045,M_sum,6.17998963928276,0.029175105815688024,30
7,6,6,0.5,0.05,M_sum,6.166999579546906,0.029485525468896965,30
7,6,6,0.5,0.055,M_sum,6.155999900509347,0.029237708205427475,30
7,6,6,0.5,0.06,M_sum,6.148314487719771,0.02889963733559844,30
7,6,6,0.5,0.065,M_sum,6.133802041764368,0.03078783280919067,30
7,6,6,0.5,0.07,M_sum,6.121444472938687,0.03200108300630345,30
7,6,6,0.5,0.075,M_sum,6.1078398545248245,0.031106443650356412,30
7,6,6,0.5,0.08,M_sum,6.098852527911577,0.03133319180879088,30
7,6,6,0.5,0.085,M_sum,6.095784622499593,0.030414310264707946,30
7,6,6,0.5,0.09,M_sum,6.0806275872731685,0.028275606357005188,30
7,6,6,0.5,0.095,M_sum,6.072932754916022,0.02836570818952567,30
7,6,6,0.5,0.1,M_sum,6.055798830316243,0.028742752662119307,30
7,6,6,0.5,0.105,M_sum,6.0457543190885925,0.028411412922195955,30
7,6,6,0.5,0.11,M_sum,6.037899134012688,0.027135281104304746,30
7,6,6,0.5,0.115,M_sum,6.029527704794798,0.028064140615325497,30
7,6,6,0.5,0.12,M_sum,6.016271439483413,0.02734637651516261,30
7,6,6,0.5,0.125,M_sum,6.007240051264128,0.02703135293609439,30
7,6,6,0.5,0.13,M_sum,5.996732675252219,0.026971200011628355,30
7,6,6,0.5,0.135,M_sum,5.983594633544174,0.02620374857136409,30
7,6,6,0.5,0.14,M_sum,5.967529881544946,0.025440600468344652,30
7,6,6,0.5,0.145,M_sum,5.961446715103447,0.02552969972965552,30
7,6,6,0.5,0.15,M_sum,5.951815099880806,0.026731619861150434,30
7,6,6,0.5,0.155,M_sum,5.948853964884382,0.027025724971854542,30
7,6,6,0.5,0.16,M_sum,5.939561283424434,0.02763163363536952,30
7,6,6,0.5,0.165,M_sum,5.934215305005639,0.02661061818310037,30
7,6,6,0.5,0.17,M_sum,5.923919382958332,0.02560650231572849,30
7,6,6,0.5,0.17500000000000002,M_sum,5.912221196682551,0.023903284717524505,30
7,6,6,0.5,0.18,M_sum,5.902160086864688,0.02465342860302713,30
7,6,6,0.5,0.185,M_sum,5.894064360595352,0.02443266307986226,30
7,6,6,0.5,0.19,M_sum,5.882182311956618,0.02326779023358705,30
7,6,6,0.5,0.195,M_sum,5.869393688605963,0.023245311673300482,30
7,6,6,0.5,0.2,M_sum,5.863409271113275,0.022859207728670436,30
7,6,6,0.5,0.20500000000000002,M_sum,5.851496689145672,0.021835902809484293,30
7,6,6,0.5,0.21,M_sum,5.842584675295632,0.022152284845207464,30
7,6,6,0.5,0.215,M_sum,5.8337243476784,0.02252365915009361,30
7,6,6,0.5,0.22,M_sum,5.822429217417635,0.022438546872139444,30
