L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,5,5,0.5,Sstar,nan,1.4878597110185938,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.6,M_sum,nan,5.6069310631703715,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.6,S2_sum,nan,3.926461472756681,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.6,Sstar,nan,1.4843563817450207,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.7000000000000001,M_sum,0.01724305335698446,5.537786729965767,-46.84839194957437,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.01528581868611052,0.03666358908305763,104,30
7,5,5,0.7000000000000001,S2_sum,0.017730001649716495,3.8905206890616024,-31.943383117014864,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.015118119032285302,0.037202247235055885,108,30
7,5,5,0.7000000000000001,Sstar,nan,1.4805086024479255,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.8,M_sum,0.016807524685048453,5.465307359575707,-59.789844157903865,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.013973715473929485,0.04423847765813236,136,30
7,5,5,0.8,S2_sum,0.0171233132051976,3.852757941002901,-41.23247635845402,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014125350843156456,0.04465328892123206,137,30
7,5,5,0.8,Sstar,0.013848572148173055,1.4764742973341736,-7.887415836334817,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011366771734402974,0.04303429660131455,105,30
7,5,5,0.9,M_sum,0.01675186451216885,5.387322529426216,-69.56736110988066,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014004698482899942,0.049421562455933266,127,30
7,5,5,0.9,S2_sum,0.016945490876287654,3.811529820174772,-48.838748276285806,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.014247015691714068,0.05002125699871617,128,30
7,5,5,0.9,Sstar,0.013808098666096977,1.4716401349277857,-8.69218512835025,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.010932302809823758,0.04885596741301085,88,30
7,5,5,1.0,M_sum,0.020612082850050343,5.3063568603486955,-66.28937975370829,0.02,ok,local_polynomial_smoothing_then_quadratic,0.014269310372589876,0.054825109860810656,191,30
7,5,5,1.0,S2_sum,0.020835838505438273,3.7683167436643497,-46.38507284741976,0.02,ok,local_polynomial_smoothing_then_quadratic,0.014563102336442944,0.056315931461875385,191,30
7,5,5,1.0,Sstar,0.0184187020046826,1.466199296579797,-8.00929544915597,0.02,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.012568317829991174,0.055843270255012435,158,30
7,5,5,1.1,M_sum,0.02243867459520011,5.221781222331143,-45.204168207072705,0.025,ok,local_polynomial_smoothing_then_quadratic,0.014524048412497435,0.06214088908590827,186,30
7,5,5,1.1,S2_sum,0.02276469447090572,3.7224748775638967,-31.40803421038587,0.025,ok,local_polynomial_smoothing_then_quadratic,0.014558706920286359,0.06295198832352018,186,30
7,5,5,1.1,Sstar,0.018181675621477635,1.4601642623487214,-3.1372824018927954,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.011070533150787544,0.06708844641032127,142,30
