L,N,nmax,W_over_t,U_over_t,quantity,k,mean,stderr,n_disorder
7,4,4,1.2,0.43,S2_k,-3,0.03496634792633952,0.0013708155454450718,100
7,4,4,1.2,0.43,S2_k,-2,0.23407556493281664,0.004310471705608115,100
7,4,4,1.2,0.43,S2_k,-1,0.606519571994204,0.004667579091724788,100
7,4,4,1.2,0.43,S2_k,0,1.210644229251764,0.006610461667318325,100
7,4,4,1.2,0.43,S2_k,1,0.33290971717042195,0.0073316703917330524,100
7,4,4,1.2,0.43,S2_k,2,0.151387816035454,0.0027470464723332922,100
7,4,4,1.2,0.43,S2_k,3,0.04202054122351316,0.0012065729739840622,100
7,4,4,1.2,0.435,S2_k,-3,0.0349473831232699,0.0013376497925934147,100
7,4,4,1.2,0.435,S2_k,-2,0.23496426155858102,0.004243789323538347,100
7,4,4,1.2,0.435,S2_k,-1,0.6051560673969945,0.004609646663611548,100
7,4,4,1.2,0.435,S2_k,0,1.2074043349051933,0.006689943245592751,100
7,4,4,1.2,0.435,S2_k,1,0.3305045395970067,0.00723732895604379,100
7,4,4,1.2,0.435,S2_k,2,0.150269037401189,0.002736256440938857,100
7,4,4,1.2,0.435,S2_k,3,0.04229988102162029,0.001177766197895481,100
7,4,4,1.2,0.44,S2_k,-3,0.03505558019819881,0.0013319045636197577,100
7,4,4,1.2,0.44,S2_k,-2,0.23556952401420844,0.004220810958922648,100
7,4,4,1.2,0.44,S2_k,-1,0.6041261709971879,0.004552268818285592,100
7,4,4,1.2,0.44,S2_k,0,1.2051323987189047,0.006634450569942767,100
7,4,4,1.2,0.44,S2_k,1,0.32689157756019827,0.007144430966996122,100
7,4,4,1.2,0.44,S2_k,2,0.14972747138750334,0.0027077933720449933,100
7,4,4,1.2,0.44,S2_k,3,0.04236768143927074,0.0011442046644254238,100
7,4,4,1.2,0.445,S2_k,-3,0.03492166003864953,0.0013119821937811946,100
7,4,4,1.2,0.445,S2_k,-2,0.23640339123764792,0.0041898871313131615,100
7,4,4,1.2,0.445,S2_k,-1,0.6029402964495492,0.0046116441264380465,100
7,4,4,1.2,0.445,S2_k,0,1.2031937537840063,0.0065795162315132934,100
7,4,4,1.2,0.445,S2_k,1,0.3239778594318396,0.007061814768823542,100
7,4,4,1.2,0.445,S2_k,2,0.14904838502973905,0.002728233913330343,100
7,4,4,1.2,0.445,S2_k,3,0.04227819333262084,0.0011388600663280127,100
7,4,4,1.2,0.45,S2_k,-3,0.03516525564177346,0.001306484307232786,100
7,4,4,1.2,0.45,S2_k,-2,0.23743277063852417,0.0041381748701342005,100
7,4,4,1.2,0.45,S2_k,-1,0.6013395129602646,0.004671339384187807,100
7,4,4,1.2,0.45,S2_k,0,1.200818886575189,0.006548950815193033,100
7,4,4,1.2,0.45,S2_k,1,0.3197132273122134,0.007037043767032872,100
7,4,4,1.2,0.45,S2_k,2,0.14846146527677628,0.002697171553620029,100
7,4,4,1.2,0.45,S2_k,3,0.04245076507756575,0.0011332825211760346,100
7,4,4,1.2,0.455,S2_k,-3,0.035081658290006125,0.0012905624641527467,100
7,4,4,1.2,0.455,S2_k,-2,0.2383818963148805,0.0041048749126491755,100
7,4,4,1.2,0.455,S2_k,-1,0.600122693924533,0.004572115917922959,100
7,4,4,1.2,0.455,S2_k,0,1.1971676897015624,0.006611405981882525,100
7,4,4,1.2,0.455,S2_k,1,0.31744860171791933,0.0069940631329144035,100
7,4,4,1.2,0.455,S2_k,2,0.14749165381466844,0.00267118051922823,100
7,4,4,1.2,0.455,S2_k,3,0.04255757928884053,0.0011319726375289287,100
7,4,4,1.2,0.46,S2_k,-3,0.035052567834273414,0.0012872799209003448,100
7,4,4,1.2,0.46,S2_k,-2,0.23926220137762455,0.00416051573565668,100
7,4,4,1.2,0.46,S2_k,-1,0.5992756769602062,0.0045826065046508085,100
7,4,4,1.2,0.46,S2_k,0,1.1935570344733986,0.00661969621641652,100
7,4,4,1.2,0.46,S2_k,1,0.31455906883659834,0.006953773617203616,100
7,4,4,1.2,0.46,S2_k,2,0.14663396244920798,0.0026826082785210096,100
7,4,4,1.2,0.46,S2_k,3,0.04261562144844208,0.0011192750474856605,100
7,4,4,1.2,0.465,S2_k,-3,0.034962689555727317,0.0012800106286781799,100
7,4,4,1.2,0.465,S2_k,-2,0.23985150083858556,0.004140019147641782,100
7,4,4,1.2,0.465,S2_k,-1,0.5982550284166367,0.004503239176356989,100
7,4,4,1.2,0.465,S2_k,0,1.1921940885115019,0.006548748850611333,100
7,4,4,1.2,0.465,S2_k,1,0.3108612670515651,0.006812473361463863,100
7,4,4,1.2,0.465,S2_k,2,0.14602296947704146,0.0026533719682844026,100
7,4,4,1.2,0.465,S2_k,3,0.04263384242267114,0.0011160026006632449,100
7,4,4,1.2,0.47000000000000003,S2_k,-3,0.03484592994265395,0.001289499964774476,100
7,4,4,1.2,0.47000000000000003,S2_k,-2,0.24038714759698043,0.004074062685225416,100
7,4,4,1.2,0.47000000000000003,S2_k,-1,0.5971473746573571,0.0044914295773241615,100
7,4,4,1.2,0.47000000000000003,S2_k,0,1.1904257579646962,0.006533796339058613,100
7,4,4,1.2,0.47000000000000003,S2_k,1,0.3091026795429637,0.006780731329262472,100
7,4,4,1.2,0.47000000000000003,S2_k,2,0.1450789804289763,0.0026268117095577105,100
7,4,4,1.2,0.47000000000000003,S2_k,3,0.042676748984899114,0.0010887759748908464,100
7,4,4,1.2,0.47500000000000003,S2_k,-3,0.03469125527645727,0.0012836181189208114,100
7,4,4,1.2,0.47500000000000003,S2_k,-2,0.2404562999441363,0.004052342373181768,100
