L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,1.7,0.5750000000000001,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.5750000000000001,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.5750000000000001,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.5750000000000001,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.5750000000000001,1.709966238307691,1.7954645502230757,0,0.0
7,7,7,1.7,0.5750000000000001,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.5750000000000001,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.5750000000000001,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.5750000000000001,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.5750000000000001,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.5750000000000001,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.5750000000000001,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.5750000000000001,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.5750000000000001,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.58,0.0,0.08549831191538455,912,0.456
7,7,7,1.7,0.58,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.58,0.1709966238307691,0.2564949357461537,34,0.017
7,7,7,1.7,0.58,0.2564949357461537,0.3419932476615382,264,0.132
7,7,7,1.7,0.58,0.3419932476615382,0.42749155957692275,174,0.087
7,7,7,1.7,0.58,0.42749155957692275,0.5129898714923073,70,0.035
7,7,7,1.7,0.58,0.5129898714923073,0.5984881834076918,167,0.0835
7,7,7,1.7,0.58,0.5984881834076918,0.6839864953230764,80,0.04
7,7,7,1.7,0.58,0.6839864953230764,0.769484807238461,35,0.0175
7,7,7,1.7,0.58,0.769484807238461,0.8549831191538455,29,0.0145
7,7,7,1.7,0.58,0.8549831191538455,0.9404814310692301,128,0.064
7,7,7,1.7,0.58,0.9404814310692301,1.0259797429846147,89,0.0445
7,7,7,1.7,0.58,1.0259797429846147,1.1114780548999992,14,0.007
7,7,7,1.7,0.58,1.1114780548999992,1.1969763668153837,4,0.002
7,7,7,1.7,0.58,1.1969763668153837,1.2824746787307684,0,0.0
7,7,7,1.7,0.58,1.2824746787307684,1.3679729906461529,0,0.0
7,7,7,1.7,0.58,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.58,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.58,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.58,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.58,1.709966238307691,1.7954645502230757,0,0.0
