U,W,L,N,nmax,boundary,g,n_realizations_used,source
3.0,13.0,7,7,2,periodic,0.1461461461461462,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,14.0,7,7,2,periodic,0.13113113113113117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,15.0,7,7,2,periodic,0.15615615615615622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,0.5,7,7,3,periodic,0.7717717717717716,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,1.0,7,7,3,periodic,0.8468468468468472,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,2.0,7,7,3,periodic,0.7667667667667666,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,3.0,7,7,3,periodic,0.6266266266266265,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,4.0,7,7,3,periodic,0.5265265265265264,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,5.0,7,7,3,periodic,0.4164164164164163,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,6.0,7,7,3,periodic,0.3413413413413413,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,7.0,7,7,3,periodic,0.3263263263263263,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,8.0,7,7,3,periodic,0.2212212212212212,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,9.0,7,7,3,periodic,0.18118118118118123,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,10.0,7,7,3,periodic,0.20620620620620622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,11.0,7,7,3,periodic,0.22622622622622626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,12.0,7,7,3,periodic,0.16616616616616622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,13.0,7,7,3,periodic,0.16116116116116116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,14.0,7,7,3,periodic,0.14614614614614613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,15.0,7,7,3,periodic,0.15615615615615613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,0.5,7,7,4,periodic,0.9519519519519521,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,1.0,7,7,4,periodic,0.9019019019019021,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,2.0,7,7,4,periodic,0.6166166166166165,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,3.0,7,7,4,periodic,0.42142142142142136,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
