L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
8,7,4,12.0,5.182298085071691,0.5,0.15831557920264666,10
8,7,4,13.0,4.837309926763428,0.5,0.15609331907422067,10
8,7,4,14.0,5.0880790496130555,0.5,0.153717002408681,10
8,7,4,15.0,5.313097187457277,0.5,0.1504701536213093,10
8,7,5,0.1,3.2290927131833786,0.5,0.542033799384743,10
8,7,5,0.25,3.2706927524050537,0.5,0.525872031052759,10
8,7,5,0.5,3.3066934893175497,0.5,0.5067996343056791,10
8,7,5,0.75,3.346650199572684,0.5,0.48344465287428895,10
8,7,5,1.0,3.38994828958013,0.5,0.4548314661531667,10
8,7,5,2.0,3.4043176998826246,0.5,0.35892681294703666,10
8,7,5,3.0,3.3811419995165015,0.5,0.28872825549976666,10
8,7,5,4.0,3.419183160747447,0.5,0.24497814882582666,10
8,7,5,5.0,3.6300662437053757,0.5,0.21425028247107664,10
8,7,5,6.0,3.6496878096062595,0.5,0.19549371455874667,10
8,7,5,7.0,3.867202058713514,0.5,0.17927983405950002,10
8,7,5,8.0,4.131686754040154,0.5,0.17116583125872997,10
8,7,5,9.0,4.338918231823409,0.5,0.16088335077747568,10
8,7,5,10.0,4.052109555883405,0.5,0.158853194180602,10
8,7,5,11.0,4.6583446119075615,0.5,0.156595778083439,10
8,7,5,12.0,4.692773465579407,0.5,0.154042001748461,10
8,7,5,13.0,5.006156628674938,0.5,0.14920935663001667,10
8,7,5,14.0,4.617833773945824,0.5,0.14518461023442497,10
8,7,5,15.0,4.73646499223338,0.5,0.14262162744981466,10
8,8,2,0.1,4.089873552637548,0.5,0.7335657804811959,10
8,8,2,0.25,4.112328265444242,0.5,0.738192616667972,10
8,8,2,0.5,4.228142056957762,0.5,0.736579173324702,10
8,8,2,0.75,4.324903206402837,0.5,0.7293071113547291,10
8,8,2,1.0,4.41782807398965,0.5,0.718094057811733,10
8,8,2,2.0,4.732020530368281,0.5,0.651035718379948,10
8,8,2,3.0,4.955886916230254,0.5,0.56148042977204,10
8,8,2,4.0,5.167820461477966,0.5,0.47903804140510997,10
8,8,2,5.0,5.3733881616382115,0.5,0.42390247068761,10
8,8,2,6.0,5.757618123008718,0.5,0.37495766148902704,10
8,8,2,7.0,5.877252993123022,0.5,0.34239806746372403,10
8,8,2,8.0,6.1609497925834225,0.5,0.317398775041966,10
8,8,2,9.0,6.613831519535687,0.5,0.29836506134903895,10
8,8,2,10.0,6.690001658876172,0.5,0.283010702386694,10
8,8,2,11.0,6.7219052603937275,0.5,0.274308793753559,10
8,8,2,12.0,6.993522904510533,0.5,0.265812773771102,10
8,8,2,13.0,6.772159230099575,0.5,0.25443967142893503,10
8,8,2,14.0,7.395075263492826,0.5,0.24656044694345403,10
8,8,2,15.0,6.382975441991419,0.5,0.241681562452669,10
8,8,3,0.1,3.94633145755493,0.5,0.630251622706792,10
8,8,3,0.25,4.005358256674822,0.5,0.618287187304518,10
8,8,3,0.5,4.07435659369596,0.5,0.602087644979092,10
8,8,3,0.75,4.160397828868031,0.5,0.5817003866506021,10
8,8,3,1.0,4.2353228386782655,0.5,0.5567387957790066,10
8,8,3,2.0,4.310419196788234,0.5,0.45841938697639006,10
8,8,3,3.0,4.270835201479031,0.5,0.3810870145089533,10
8,8,3,4.0,4.260673781201525,0.5,0.32264786851632,10
8,8,3,5.0,4.416107391831751,0.5,0.28533738936475667,10
8,8,3,6.0,4.708028913834086,0.5,0.25065954019187,10
8,8,3,7.0,4.792687684543018,0.5,0.23496780349074664,10
8,8,3,8.0,5.093596316819317,0.5,0.21707688052942664,10
8,8,3,9.0,5.255177438839376,0.5,0.2065795706207167,10
8,8,3,10.0,4.937075314552044,0.5,0.20108074991787,10
8,8,3,11.0,5.173890347887765,0.5,0.19494330582121333,10
8,8,3,12.0,5.771596346852481,0.5,0.19039683063961,10
8,8,3,13.0,5.966472084762328,0.5,0.18798379752000666,10
8,8,3,14.0,5.924847185629155,0.5,0.18587721292092335,10
8,8,3,15.0,5.78612689439051,0.5,0.18125973602785667,10
8,8,4,0.1,3.5286022731366242,0.5,0.5261636167948011,10
8,8,4,0.25,3.5503982944561083,0.5,0.5125222225158141,10
8,8,4,0.5,3.555321178659659,0.5,0.495544475066666,10
8,8,4,0.75,3.5766717861753796,0.5,0.474808610949803,10
8,8,4,1.0,3.5883417415006518,0.5,0.45385539831749655,10
8,8,4,2.0,3.592641379492611,0.5,0.36965388813694,10
8,8,4,3.0,3.5916847660296387,0.5,0.29846559580760335,10
8,8,4,4.0,3.6200033313322644,0.5,0.25588930317518666,10
8,8,4,5.0,3.7482122788028596,0.5,0.22662104059888,10
8,8,4,6.0,3.860298435058576,0.5,0.20421385974643336,10
8,8,4,7.0,3.909173276424816,0.5,0.18695950883625667,10
8,8,4,8.0,4.245873784459372,0.5,0.17497692947851667,10
8,8,4,9.0,4.30622813934783,0.5,0.16935075933386,10
8,8,4,10.0,4.695269152385001,0.5,0.16219967257156,10
8,8,4,11.0,4.687344824264983,0.5,0.16302233305607,10
8,8,4,12.0,4.962303065578096,0.5,0.15624584407756167,10
8,8,4,13.0,5.004226694327862,0.5,0.15645174451187,10
8,8,4,14.0,5.038478736260641,0.5,0.15143639435674566,10
8,8,4,15.0,5.176625573519916,0.5,0.14904841703372665,10
