L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
8,6,4,15.0,-0.0169994940318666,0.30996519170471265,0.9904840361763592,10,0.0,1
8,6,5,0.1,-0.032273210839519104,0.8558296181846271,0.8835045543065869,10,0.0,1
8,6,5,0.25,-0.03405669209879581,0.8582663928876263,0.8831528841654129,10,0.0,1
8,6,5,0.5,-0.036269334441620844,0.8590951383411671,0.8838180914044881,10,0.0,1
8,6,5,0.75,-0.03897109632311496,0.8590388681758483,0.8831649885953228,10,0.0,1
8,6,5,1.0,-0.042036154858676573,0.8583550010343726,0.8833610420037636,10,0.0,1
8,6,5,2.0,-0.05166576505040274,0.8366980958271713,0.865351313243528,10,0.0,1
8,6,5,3.0,-0.05661780470477327,0.8015445242800591,0.8617232365058333,10,0.0,1
8,6,5,4.0,-0.05618207027742733,0.7491112244185898,0.8878230556603011,10,0.0,1
8,6,5,5.0,-0.052590962986942345,0.6866469476862546,0.9050288105881567,10,0.0,1
8,6,5,6.0,-0.049645012041775766,0.6376054708922142,0.9191372626562314,10,0.0,1
8,6,5,7.0,-0.044604607650655916,0.5842334505190796,0.9339130836160888,10,0.0,1
8,6,5,8.0,-0.03966054883800351,0.5317618968919718,0.9620362817755672,10,0.0,1
8,6,5,9.0,-0.03263362602360856,0.4698587966930125,0.967251338964078,10,0.0,1
8,6,5,10.0,-0.030741102576338553,0.44407097756084285,0.9774296252987933,10,0.0,1
8,6,5,11.0,-0.02692318668199014,0.4085250698438912,0.9873310638809456,10,0.0,1
8,6,5,12.0,-0.024063779169766993,0.3793211651012786,0.979993953987978,10,0.0,1
8,6,5,13.0,-0.02189265653669311,0.3557583179122327,0.9899851580773124,10,0.0,1
8,6,5,14.0,-0.018600818894770332,0.32743188716243254,0.9916104850147339,10,0.0,1
8,6,5,15.0,-0.017244104621847278,0.3083283400109953,0.9927651485014721,10,0.0,1
8,7,2,0.1,-0.014105577241420308,0.8874981888352116,0.9334153469421137,10,0.0,1
8,7,2,0.25,-0.014025856520350453,0.8905238328433712,0.9381742936279833,10,0.0,1
8,7,2,0.5,-0.014486161164379181,0.892359670778644,0.9373971834882302,10,0.0,1
8,7,2,0.75,-0.015293454521222473,0.8930223866486959,0.9345949509207551,10,0.0,1
8,7,2,1.0,-0.01645542703448979,0.893697511153192,0.9355071339104579,10,0.0,1
8,7,2,2.0,-0.023345492618699885,0.8933814522076128,0.9432206363196552,10,0.0,1
8,7,2,3.0,-0.03246383559528136,0.8828856022956644,0.9564096753878408,10,0.0,1
8,7,2,4.0,-0.03888946712718158,0.8481421555968303,0.9629134144372853,10,0.0,1
8,7,2,5.0,-0.04027379756565461,0.7920091617519887,0.9589633245677628,10,0.1111111111111111,0
8,7,2,6.0,-0.037649569327700874,0.7211479698477592,0.9646483263475167,10,0.0,1
8,7,2,7.0,-0.03415905728447636,0.6556674967441838,0.9630919679628045,10,0.1111111111111111,0
8,7,2,8.0,-0.02955461943265248,0.5900821572746907,0.9637994903045322,10,0.0,1
8,7,2,9.0,-0.02520839876029048,0.5312048977924609,0.9428155339889166,10,0.2222222222222222,0
8,7,2,10.0,-0.021119005539116265,0.4825402845491343,0.948358369054607,10,0.1111111111111111,0
8,7,2,11.0,-0.017036192276602902,0.43451287759584784,0.9190246670365303,10,0.2222222222222222,0
8,7,2,12.0,-0.01493612584194451,0.4023045339491353,0.9304859042538972,10,0.1111111111111111,0
8,7,2,13.0,-0.011646135420334673,0.36481664356270227,0.8987185997165389,10,0.2222222222222222,0
8,7,2,14.0,-0.011301620326238358,0.34628737093272577,0.9706355860732673,10,0.1111111111111111,0
8,7,2,15.0,-0.008247084996565863,0.3127159989953509,0.9083177671132634,10,0.2222222222222222,0
8,7,3,0.1,-0.03092760485534906,0.894494836453667,0.9164025239857155,10,0.0,1
8,7,3,0.25,-0.032809559999331835,0.8998344748476772,0.9252423517416594,10,0.0,1
8,7,3,0.5,-0.03508325692943758,0.9039543447998931,0.9312365033536544,10,0.0,1
8,7,3,0.75,-0.03828578299785695,0.9083316352435067,0.9364697953530103,10,0.0,1
8,7,3,1.0,-0.04235619631053499,0.91247743927256,0.9384236412109932,10,0.0,1
8,7,3,2.0,-0.05537739959689991,0.9113342747239398,0.923428957742932,10,0.0,1
8,7,3,3.0,-0.06281294010935141,0.8898319202493915,0.920602492294856,10,0.0,1
8,7,3,4.0,-0.06425914536166531,0.8528318651664161,0.9274229133224586,10,0.0,1
8,7,3,5.0,-0.061726556464439565,0.7975536359279378,0.9342755350294147,10,0.0,1
8,7,3,6.0,-0.056429447364801176,0.7308908104441413,0.9528317797612877,10,0.0,1
8,7,3,7.0,-0.049834893656946114,0.662094054713999,0.9644186517906862,10,0.0,1
8,7,3,8.0,-0.044346462262325775,0.6055745308606085,0.9763160333375608,10,0.0,1
8,7,3,9.0,-0.038122091913917494,0.5492240612479397,0.9823455632185851,10,0.0,1
