L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
8,6,3,7.0,1.0,0.10687246351558836,0.9818089544211361,10
8,6,3,8.0,1.0,0.13355250402787272,0.9768901059227051,10
8,6,3,9.0,1.0,0.10440692139041977,0.9854232138023906,10
8,6,3,10.0,1.0,0.10093422788557693,0.986574833951583,10
8,6,3,11.0,1.0,0.09140910537314305,0.9893699269226417,10
8,6,3,12.0,1.0,0.0612919860507465,0.9940759577903628,10
8,6,3,13.0,1.0,0.08178446013086813,0.9832819226047593,10
8,6,3,14.0,1.0,0.07727665404574696,0.9860102748831199,10
8,6,3,15.0,1.0,0.09199993159212773,0.9899710309654314,10
8,6,4,0.1,1.0,0.21771202426635491,0.8892071809562414,10
8,6,4,0.25,1.0,0.2197707407107688,0.8863206324196822,10
8,6,4,0.5,1.0,0.22179440366797237,0.8837432056445766,10
8,6,4,0.75,1.0,0.22711291777661918,0.878019746986292,10
8,6,4,1.0,1.0,0.2270790722531475,0.8758278476857271,10
8,6,4,2.0,1.0,0.21367285587023926,0.8913033287954925,10
8,6,4,3.0,1.0,0.1795871666740103,0.9269684774716558,10
8,6,4,4.0,1.0,0.16531719411273066,0.9461982903533456,10
8,6,4,5.0,1.0,0.12092735963533893,0.9718849162329772,10
8,6,4,6.0,1.0,0.11097762588413342,0.9803298045777112,10
8,6,4,7.0,1.0,0.12437409500568584,0.9762876960326659,10
8,6,4,8.0,1.0,0.08212980912618167,0.9890021513306404,10
8,6,4,9.0,1.0,0.10617050003504329,0.9829704450177132,10
8,6,4,10.0,1.0,0.1103153822730698,0.9830180277598908,10
8,6,4,11.0,1.0,0.06712077240797484,0.9937325484252365,10
8,6,4,12.0,1.0,0.10570509747820156,0.9866046069358412,10
8,6,4,13.0,1.0,0.04845373284663841,0.9938918180781475,10
8,6,4,14.0,1.0,0.09752402045673882,0.9888802738573481,10
8,6,4,15.0,1.0,0.04137275199616396,0.9969518354682871,10
8,6,5,0.1,1.0,0.21527789055643773,0.8909479512929407,10
8,6,5,0.25,1.0,0.21869486906366453,0.8877603924660364,10
8,6,5,0.5,1.0,0.22234494400753982,0.8835804818996409,10
8,6,5,0.75,1.0,0.22632201664573368,0.8789423468504822,10
8,6,5,1.0,1.0,0.22983167951744377,0.8754049372176751,10
8,6,5,2.0,1.0,0.20784252345059345,0.8973593531603661,10
8,6,5,3.0,1.0,0.17668001639802608,0.929223615033064,10
8,6,5,4.0,1.0,0.1575385938753554,0.9500827126354973,10
8,6,5,5.0,1.0,0.1387546507383664,0.9653933893335112,10
8,6,5,6.0,1.0,0.11962327641456572,0.9764412250518522,10
8,6,5,7.0,1.0,0.07267720558082322,0.9913258545960051,10
8,6,5,8.0,1.0,0.09625915264914112,0.9864991959275307,10
8,6,5,9.0,1.0,0.10052731363743535,0.9850070598923362,10
8,6,5,10.0,1.0,0.07236309547492799,0.9912603619960575,10
8,6,5,11.0,1.0,0.09315467605448936,0.9871889161954648,10
8,6,5,12.0,1.0,0.08587612067877522,0.9899979588733857,10
8,6,5,13.0,1.0,0.07553273132222962,0.9889181254916719,10
8,6,5,14.0,1.0,0.07046773024060221,0.9916410119641078,10
8,6,5,15.0,1.0,0.0673221862210828,0.991510785945501,10
8,7,2,0.1,1.0,0.2643326579446533,0.84992817840203,10
8,7,2,0.25,1.0,0.27218404749701114,0.8438377126148783,10
8,7,2,0.5,1.0,0.2779702995096836,0.8370208561015522,10
8,7,2,0.75,1.0,0.28131789794513945,0.8326531941586467,10
8,7,2,1.0,1.0,0.2859098273384888,0.8280354931383189,10
8,7,2,2.0,1.0,0.2896639496888937,0.8346896367074003,10
8,7,2,3.0,1.0,0.2733505469891677,0.8663850507382038,10
8,7,2,4.0,1.0,0.24482415330148488,0.902092106561319,10
8,7,2,5.0,1.0,0.22112615172366507,0.9320014872262462,10
8,7,2,6.0,1.0,0.1878762275592514,0.9524730546248489,10
8,7,2,7.0,1.0,0.18544995792881772,0.9617916079991251,10
8,7,2,8.0,1.0,0.15146308160910274,0.9720674092377841,10
8,7,2,9.0,1.0,0.16256554790087857,0.9697724240304078,10
8,7,2,10.0,1.0,0.13749820679019104,0.9773350455544776,10
8,7,2,11.0,1.0,0.1792744102720876,0.9665572298504442,10
8,7,2,12.0,1.0,0.158966699924485,0.973360269489839,10
8,7,2,13.0,1.0,0.2008233183420592,0.9592787422456733,10
8,7,2,14.0,1.0,0.0906679314459284,0.9910106277819042,10
8,7,2,15.0,1.0,0.16923697697450188,0.9641106125367854,10
8,7,3,0.1,1.0,0.25846102335775717,0.8535067400262158,10
8,7,3,0.25,1.0,0.2699629368167171,0.8430372878682334,10
8,7,3,0.5,1.0,0.27962847286786563,0.8334865253701641,10
8,7,3,0.75,1.0,0.2887488835685693,0.8236094699029449,10
8,7,3,1.0,1.0,0.2967025524695921,0.8159288680544693,10
8,7,3,2.0,1.0,0.2834968589829459,0.8325942700807242,10
8,7,3,3.0,1.0,0.24549936628933033,0.881363611028455,10
8,7,3,4.0,1.0,0.20558364759205028,0.9229210907180398,10
8,7,3,5.0,1.0,0.17075174487323502,0.951170080168124,10
8,7,3,6.0,1.0,0.14642438343243994,0.9685185315314833,10
8,7,3,7.0,1.0,0.12759950726980898,0.9752595364553797,10
8,7,3,8.0,1.0,0.10809997404639912,0.9836976435304982,10
8,7,3,9.0,1.0,0.10415355975137645,0.9830694468963203,10
8,7,3,10.0,1.0,0.11621405700326722,0.9833519287828068,10
8,7,3,11.0,1.0,0.09280071033986145,0.9869432174039734,10
8,7,3,12.0,1.0,0.10767646660160661,0.9877089362980591,10
8,7,3,13.0,1.0,0.12976262061985278,0.9833346067128057,10
8,7,3,14.0,1.0,0.0728277059270874,0.9921660041223936,10
8,7,3,15.0,1.0,0.0701705386978428,0.9922310637328541,10
8,7,4,0.1,1.0,0.23223391394195805,0.876624053113282,10
8,7,4,0.25,1.0,0.23944169898617806,0.8698590227239315,10
8,7,4,0.5,1.0,0.24614032800012398,0.8629709408092141,10
8,7,4,0.75,1.0,0.2525673697528201,0.8564479931480491,10
8,7,4,1.0,1.0,0.25618418782351515,0.8526947590637268,10
8,7,4,2.0,1.0,0.23744178478586733,0.869515079900818,10
8,7,4,3.0,1.0,0.20176522550937973,0.9110134231087724,10
8,7,4,4.0,1.0,0.17859311915146284,0.9366615503585638,10
8,7,4,5.0,1.0,0.151713326370549,0.9592643545941827,10
8,7,4,6.0,1.0,0.13576029353231328,0.9694242784138236,10
8,7,4,7.0,1.0,0.13758294901971255,0.9721403228767584,10
8,7,4,8.0,1.0,0.10394384740205768,0.9830672112797533,10
8,7,4,9.0,1.0,0.07285248126281942,0.9907055756259733,10
8,7,4,10.0,1.0,0.08407523011904944,0.9873676849963007,10
8,7,4,11.0,1.0,0.07134111879419584,0.9914563088666424,10
