L,nmax,U,W,N0,A,B,n_N
8,2,4.0,13.0,6.0,0.3115973679510764,0.018000839602405616,5
8,2,4.0,14.0,6.0,0.292670210010621,0.016167508964748216,5
8,2,4.0,15.0,6.0,0.27407222227644873,0.01617768055537757,5
8,2,5.0,0.1,6.0,0.7881136223324733,0.0011975806204182148,5
8,2,5.0,0.25,6.0,0.7875909387584905,0.004524000892228819,5
8,2,5.0,0.5,6.0,0.7837088345284083,0.006926295485033584,5
8,2,5.0,0.75,6.0,0.7768572637268568,0.008653592952735222,5
8,2,5.0,1.0,6.0,0.7671405211925736,0.011095915935994616,5
8,2,5.0,2.0,6.0,0.7142915321117008,0.024185790240101167,5
8,2,5.0,3.0,6.0,0.6509581964197915,0.032954638327367405,5
8,2,5.0,4.0,6.0,0.5899634674798592,0.03741188772390501,5
8,2,5.0,5.0,6.0,0.5399315605293328,0.037699607523742996,5
8,2,5.0,6.0,6.0,0.499542070054462,0.035516539265794976,5
8,2,5.0,7.0,6.0,0.46393085643698795,0.03427756627898558,5
8,2,5.0,8.0,6.0,0.4291386978107788,0.028081235850824192,5
8,2,5.0,9.0,6.0,0.39751633746095516,0.029368391830844998,5
8,2,5.0,10.0,6.0,0.37035027250845565,0.024268302248069185,5
8,2,5.0,11.0,6.0,0.34248941712409403,0.02085673791668783,5
8,2,5.0,12.0,6.0,0.31981681740483314,0.019780311808226814,5
8,2,5.0,13.0,6.0,0.299695977997404,0.01728275475906661,5
8,2,5.0,14.0,6.0,0.2787313372832025,0.014497758103162551,5
8,2,5.0,15.0,6.0,0.26504312834837807,0.014261585801043036,5
8,2,6.0,0.1,6.0,0.7763938609779629,-0.001069363652981359,5
8,2,6.0,0.25,6.0,0.7753243853170504,0.0026900353362792283,5
8,2,6.0,0.5,6.0,0.7708313078734925,0.004873304366588038,5
8,2,6.0,0.75,6.0,0.762638215433556,0.006347225906926046,5
8,2,6.0,1.0,6.0,0.7508379506993312,0.008573484476253413,5
8,2,6.0,2.0,6.0,0.68504583796081,0.01918693230489197,5
8,2,6.0,3.0,6.0,0.607300368159656,0.02728375124068059,5
8,2,6.0,4.0,6.0,0.5391899260992432,0.02963575962946662,5
8,2,6.0,5.0,6.0,0.48478570064544924,0.030598478753360837,5
8,2,6.0,6.0,6.0,0.44462490770218077,0.032213947286269806,5
8,2,6.0,7.0,6.0,0.414805328544294,0.027587867322715,5
8,2,6.0,8.0,6.0,0.3865973405767088,0.028365148922073792,5
8,2,6.0,9.0,6.0,0.3652919744567155,0.024903233636868784,5
8,2,6.0,10.0,6.0,0.3437151408931772,0.022735717337030205,5
8,2,6.0,11.0,6.0,0.32407995137028645,0.020524069139628787,5
8,2,6.0,12.0,6.0,0.3023590722250812,0.017127855479610397,5
8,2,6.0,13.0,6.0,0.2869595482089224,0.0175852531523976,5
8,2,6.0,14.0,6.0,0.26837423393125986,0.014550837863685129,5
8,2,6.0,15.0,6.0,0.25549552956048593,0.014812348099459267,5
8,2,7.0,0.1,6.0,0.7671412068748932,-0.00228889286784324,5
8,2,7.0,0.25,6.0,0.7660276945418408,0.0014480300920521882,5
8,2,7.0,0.5,6.0,0.7613074618775373,0.0035842411358023795,5
8,2,7.0,0.75,6.0,0.7529195203280596,0.004967723367649413,5
8,2,7.0,1.0,6.0,0.7402466036387656,0.006947345506870817,5
8,2,7.0,2.0,6.0,0.6652020865682332,0.016642159129728218,5
8,2,7.0,3.0,6.0,0.5780836691680143,0.02238238161628501,5
