L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
9,7,2,0.7777777777777778,8.0,4.0,2304,fock_entropy_normalized,0.50595232681403,0.00524265489338138,0.013647403244102598,0.0007376259915823691,0.44519490684223667,4.4090001442650964e-05,300
9,7,2,0.7777777777777778,8.0,5.0,2304,fock_entropy_normalized,0.43144144434360004,0.004310313741212469,0.007302675008299199,0.00030008806467259405,0.44551570873706337,4.29121351329799e-05,300
9,7,2,0.7777777777777778,8.0,6.0,2304,fock_entropy_normalized,0.38320470694873665,0.004439312878858507,0.005432871449643167,0.0003159338747668759,0.44522746652243333,6.459574675293211e-05,300
9,7,2,0.7777777777777778,8.0,7.0,2304,fock_entropy_normalized,0.34399925537468995,0.004022397078166644,0.0039473737662767,0.00018065821017189065,0.4444306488960266,0.000106322549040632,300
9,7,2,0.7777777777777778,8.0,8.0,2304,fock_entropy_normalized,0.31876128287260663,0.003365942043285529,0.0031650007312034,9.432087768714591e-05,0.4431204500858733,0.00014080626408711634,300
9,7,2,0.7777777777777778,8.0,9.0,2304,fock_entropy_normalized,0.30079954012210663,0.003384564499683313,0.0028725512494328,0.00010367821907999822,0.44162891615780336,0.00018344313327427894,300
9,7,2,0.7777777777777778,8.0,10.0,2304,fock_entropy_normalized,0.28601080631768666,0.0027912906186485322,0.0025404766829337337,6.444416218329127e-05,0.44011886921971666,0.00018373222184855811,300
9,7,2,0.7777777777777778,9.0,1.0,2304,fock_entropy_normalized,0.79501240272725,0.0004568152081184242,0.11183096596690999,0.000509856665614497,0.44381225530114665,4.6778407809192144e-07,300
9,7,2,0.7777777777777778,9.0,2.0,2304,fock_entropy_normalized,0.7298327134055966,0.002007927967116205,0.06341304033931201,0.001099032829886858,0.4437872467954667,4.260994387682102e-06,300
9,7,2,0.7777777777777778,9.0,3.0,2304,fock_entropy_normalized,0.60177454849417,0.004404527583156687,0.02575404986191977,0.0009631486262872799,0.4443389215078166,3.5656410477700555e-05,300
9,7,2,0.7777777777777778,9.0,4.0,2304,fock_entropy_normalized,0.49182021945027005,0.004823622129326009,0.011829579310428431,0.000528036709499542,0.4453562218835367,4.50152582980341e-05,300
9,7,2,0.7777777777777778,9.0,5.0,2304,fock_entropy_normalized,0.4126200956044733,0.005071234083137623,0.007045619453516266,0.0003744523800657727,0.44590239804928333,4.4881058996152425e-05,300
9,7,2,0.7777777777777778,9.0,6.0,2304,fock_entropy_normalized,0.3660073234550533,0.004740890828942137,0.0049644991828353,0.0002615473463277052,0.44587053929254,5.4738395514559685e-05,300
9,7,2,0.7777777777777778,9.0,7.0,2304,fock_entropy_normalized,0.32541655986099666,0.003980879973445334,0.003529362960481866,0.00013452702261666154,0.44557893400576004,7.22422368645222e-05,300
9,7,2,0.7777777777777778,9.0,8.0,2304,fock_entropy_normalized,0.28985247875992665,0.0031892613165402394,0.002607276056549497,7.540732430455876e-05,0.44455938408972673,0.00011041162596572699,300
9,7,2,0.7777777777777778,9.0,9.0,2304,fock_entropy_normalized,0.26836370830576667,0.0032351671494621963,0.0023004359068291833,8.616719412852564e-05,0.4435177626012866,0.00013764680870393287,300
9,7,2,0.7777777777777778,9.0,10.0,2304,fock_entropy_normalized,0.26433487568631336,0.002964024836222038,0.002196818941048747,5.925376638052488e-05,0.44229152123793997,0.00016307752805917746,300
9,7,2,0.7777777777777778,10.0,1.0,2304,fock_entropy_normalized,0.7913106977777267,0.00045455972843622925,0.109117077163579,0.0004843355064767223,0.4439311200461334,3.989560246030279e-07,300
9,7,2,0.7777777777777778,10.0,2.0,2304,fock_entropy_normalized,0.7171571268085766,0.002172616542732643,0.05796564298380934,0.0011159991034267764,0.44391435734027673,1.6854306696836267e-06,300
9,7,2,0.7777777777777778,10.0,3.0,2304,fock_entropy_normalized,0.5995063713619466,0.004329103949033846,0.0252084433739765,0.0009114547038929583,0.44425875280902327,2.68635245700638e-05,300
9,7,2,0.7777777777777778,10.0,4.0,2304,fock_entropy_normalized,0.49641249255037007,0.005201768900392302,0.0126496572482921,0.0005841053235227707,0.4450840177099667,4.4672135771257533e-05,300
9,7,2,0.7777777777777778,10.0,5.0,2304,fock_entropy_normalized,0.4046490827120333,0.005033091352559661,0.006659248496278399,0.00032643463196930963,0.44596223746442,4.66178572126344e-05,300
9,7,2,0.7777777777777778,10.0,6.0,2304,fock_entropy_normalized,0.34739904728413007,0.004688889498881057,0.004476511922928366,0.0002354916581868946,0.4462526588008933,5.426165952900638e-05,300
9,7,2,0.7777777777777778,10.0,7.0,2304,fock_entropy_normalized,0.3056832398789567,0.003755092368918921,0.0030750900223529332,0.00011636452135617583,0.4460091985228866,5.677982682800045e-05,300
9,7,2,0.7777777777777778,10.0,8.0,2304,fock_entropy_normalized,0.28189056862162,0.0035717762478415524,0.00262937104392958,0.00010876123098284495,0.4457386901569233,9.537964523632842e-05,300
9,7,2,0.7777777777777778,10.0,9.0,2304,fock_entropy_normalized,0.26488091440558,0.0036513267892152547,0.0023748456957073433,0.00010238486486967317,0.44475393981317335,0.00012026226387637742,300
9,7,2,0.7777777777777778,10.0,10.0,2304,fock_entropy_normalized,0.23994452836081667,0.0028318751371328235,0.0018745820473125001,4.725554066867195e-05,0.4434457904568999,0.0001555690901338185,300
9,8,2,0.8888888888888888,1.0,1.0,2907,fock_entropy_normalized,0.90324873555894,3.6639186404091225e-05,0.3091077591934367,0.0001457021530612627,0.5497570105293732,3.878935867790462e-05,300
9,8,2,0.8888888888888888,1.0,2.0,2907,fock_entropy_normalized,0.8960914212566135,0.00022893425519562036,0.28250309913897664,0.0008247497862964197,0.5448920078215367,0.00011045625646457629,300
9,8,2,0.8888888888888888,1.0,3.0,2907,fock_entropy_normalized,0.8751297785661167,0.0009174725472255433,0.22011973283195468,0.0023445426705413367,0.5390720930324534,0.0001476157627084559,300
9,8,2,0.8888888888888888,1.0,4.0,2907,fock_entropy_normalized,0.8333581205345334,0.002754056323045051,0.15094933218822632,0.003656961121131794,0.53493037610824,0.00016575657729309734,300
9,8,2,0.8888888888888888,1.0,5.0,2907,fock_entropy_normalized,0.7671089802140467,0.004558233039256673,0.0896550575392369,0.003453991265076343,0.5317479281612967,0.00016807543725363383,300
9,8,2,0.8888888888888888,1.0,6.0,2907,fock_entropy_normalized,0.6784972044308599,0.006143026788084467,0.048766732333656734,0.0026332918474951225,0.5288684532157966,0.00013523456957819917,300
9,8,2,0.8888888888888888,1.0,7.0,2907,fock_entropy_normalized,0.5906958771812967,0.006674122916636593,0.025956417594655102,0.001817004141449186,0.5268995793632967,0.00013024110702449884,300
9,8,2,0.8888888888888888,1.0,8.0,2907,fock_entropy_normalized,0.5353891052038067,0.007117940253980937,0.0183903512937871,0.0014327534599551503,0.5259376240131334,0.00011704381040330842,300
9,8,2,0.8888888888888888,1.0,9.0,2907,fock_entropy_normalized,0.47246737110529335,0.006934935897703301,0.011342696069596266,0.0010530393253582978,0.5250244269046633,0.00012249077059803024,300
9,8,2,0.8888888888888888,1.0,10.0,2907,fock_entropy_normalized,0.41850904313446996,0.007083266216454703,0.007978432132167257,0.0007548955113968912,0.5240156422948465,0.00012145088410068488,300
9,8,2,0.8888888888888888,2.0,1.0,2907,fock_entropy_normalized,0.8934839083254467,4.8409981896039916e-05,0.27178171842999,0.0001700055186105604,0.5474597586648067,2.137768688005237e-05,300
9,8,2,0.8888888888888888,2.0,2.0,2907,fock_entropy_normalized,0.8852368335107034,0.00024212444153338627,0.24519174371466,0.0007535070021867307,0.5450774618176233,5.7961769269938036e-05,300
9,8,2,0.8888888888888888,2.0,3.0,2907,fock_entropy_normalized,0.8660835122760934,0.0008473090048057664,0.19609963957527632,0.0018194897735596158,0.5416833566585867,0.00010149733867378405,300
9,8,2,0.8888888888888888,2.0,4.0,2907,fock_entropy_normalized,0.8267693378042333,0.00242550150872721,0.13624400111243934,0.002867369157922237,0.53820575797386,0.00014600885316190719,300
9,8,2,0.8888888888888888,2.0,5.0,2907,fock_entropy_normalized,0.7509370214501467,0.004698014447110959,0.07824238106300271,0.0030083771396739096,0.5347072782417099,0.00016022085359021645,300
9,8,2,0.8888888888888888,2.0,6.0,2907,fock_entropy_normalized,0.6864166985489333,0.006182939299351911,0.0513560605015643,0.0024546065086153953,0.5321785058702201,0.0001662623974811427,300
9,8,2,0.8888888888888888,2.0,7.0,2907,fock_entropy_normalized,0.6127672930151133,0.007065040704727984,0.031778979349987926,0.001963422363090856,0.53017136593642,0.00014556051129373026,300
9,8,2,0.8888888888888888,2.0,8.0,2907,fock_entropy_normalized,0.5432642102243034,0.007287855056363287,0.0191360267023108,0.0012444585683621355,0.5284828234165999,0.00012808142269817054,300
9,8,2,0.8888888888888888,2.0,9.0,2907,fock_entropy_normalized,0.49179453475426327,0.007484967099154611,0.014257167093662367,0.0011377040350601464,0.5272810629113968,0.0001394929469705272,300
9,8,2,0.8888888888888888,2.0,10.0,2907,fock_entropy_normalized,0.4364674020582834,0.007149452924160651,0.009100795530818913,0.0007308206617131044,0.5261410412506634,0.00013848475201272441,300
9,8,2,0.8888888888888888,3.0,1.0,2907,fock_entropy_normalized,0.8734798775015933,6.205190404682711e-05,0.21210398014064336,0.0002183705228735021,0.5460661254354133,6.6720383453725e-06,300
9,8,2,0.8888888888888888,3.0,2.0,2907,fock_entropy_normalized,0.8628737066176001,0.00032662084006311034,0.18341039549995666,0.0008049107283776825,0.5452795799903334,2.4139923624012308e-05,300
9,8,2,0.8888888888888888,3.0,3.0,2907,fock_entropy_normalized,0.8407873557505601,0.0009510005828388025,0.142631692706903,0.0015310016201180803,0.5436916005329234,6.370926042324121e-05,300
9,8,2,0.8888888888888888,3.0,4.0,2907,fock_entropy_normalized,0.7986136836822099,0.0021664794457932003,0.097110184842083,0.0018756549815983669,0.54120633190701,0.00010413404314658872,300
9,8,2,0.8888888888888888,3.0,5.0,2907,fock_entropy_normalized,0.7438598441135167,0.00407459747886367,0.06696102121046764,0.0021427179225214344,0.5386521173948,0.0001486540943124406,300
9,8,2,0.8888888888888888,3.0,6.0,2907,fock_entropy_normalized,0.6678713175085433,0.005839993789459574,0.0413689661821916,0.0018175506465066618,0.5361931476056967,0.00016341143520421798,300
9,8,2,0.8888888888888888,3.0,7.0,2907,fock_entropy_normalized,0.58986857070873,0.006286717929316045,0.023590469544511068,0.0011951817627548571,0.5335209757282167,0.00015084956593316333,300
9,8,2,0.8888888888888888,3.0,8.0,2907,fock_entropy_normalized,0.53935839508248,0.006729221919102555,0.017527858452777264,0.0010979451026722437,0.53193996803214,0.00015551218288801266,300
9,8,2,0.8888888888888888,3.0,9.0,2907,fock_entropy_normalized,0.47653510917664677,0.006505453717337084,0.0110007811519347,0.0007484431311918496,0.53017458104268,0.00014179066331567212,300
9,8,2,0.8888888888888888,3.0,10.0,2907,fock_entropy_normalized,0.44137767945906337,0.006131426667148085,0.008094294539252433,0.0004824592744960698,0.5289128804220666,0.0001423708785393989,300
9,8,2,0.8888888888888888,4.0,1.0,2907,fock_entropy_normalized,0.84215030654788,0.00010477733815976856,0.15096516404834,0.00024010031834970007,0.54486254035211,4.821211082076934e-06,300
9,8,2,0.8888888888888888,4.0,2.0,2907,fock_entropy_normalized,0.8257494229704501,0.0005352785320968519,0.120467925942949,0.0008189352477220725,0.5448895718274566,8.922056140040901e-06,300
9,8,2,0.8888888888888888,4.0,3.0,2907,fock_entropy_normalized,0.7928869932483034,0.0012774138048979324,0.08461807284063902,0.001117589580389781,0.54453832048033,2.9495491674443975e-05,300
9,8,2,0.8888888888888888,4.0,4.0,2907,fock_entropy_normalized,0.7485754376501667,0.0024837023757625968,0.05864472402396066,0.001255181941779059,0.5434153397019834,6.490809057492967e-05,300
9,8,2,0.8888888888888888,4.0,5.0,2907,fock_entropy_normalized,0.6953692135896367,0.003678356734309532,0.040440074623161903,0.0011394163542655803,0.5417794443540633,0.00010878672769266962,300
9,8,2,0.8888888888888888,4.0,6.0,2907,fock_entropy_normalized,0.6339337179457932,0.004645158012458264,0.027137841287815767,0.0009736441672116073,0.5396102275746634,0.000136946018504388,300
9,8,2,0.8888888888888888,4.0,7.0,2907,fock_entropy_normalized,0.5733028655194601,0.005327825570305084,0.0185887568895995,0.0008216086244609199,0.5373795912372766,0.00016662991026312178,300
9,8,2,0.8888888888888888,4.0,8.0,2907,fock_entropy_normalized,0.5191000740753333,0.005557123179391277,0.0129366009468524,0.000610419774801395,0.5352620692341533,0.00016142590010726515,300
9,8,2,0.8888888888888888,4.0,9.0,2907,fock_entropy_normalized,0.47121390100266664,0.005971900694947362,0.009728138396516867,0.0005277885702561877,0.5335099903886767,0.00016863234015784167,300
9,8,2,0.8888888888888888,4.0,10.0,2907,fock_entropy_normalized,0.43473444671553335,0.0056923434850398415,0.007207375978603966,0.000339605060666763,0.5319973723567267,0.00015031938901918153,300
9,8,2,0.8888888888888888,5.0,1.0,2907,fock_entropy_normalized,0.8063485089748966,0.0002295488692076319,0.11311748591655334,0.0003255467254574692,0.5446559588892166,3.6899043456899524e-06,300
9,8,2,0.8888888888888888,5.0,2.0,2907,fock_entropy_normalized,0.7789384526253,0.0009211881361466703,0.08140236341448334,0.0008465541733609788,0.5445409044586267,7.065096197495514e-06,300
9,8,2,0.8888888888888888,5.0,3.0,2907,fock_entropy_normalized,0.7351659592775767,0.0018966280241415074,0.05297576177095167,0.0009730694934114748,0.5446733755348034,1.779133966054121e-05,300
