L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,8,2,5.0,10.0,1.0,0.4934778487908557,0.983000477317638,0.3930659203729633,False
9,8,2,6.0,10.0,1.0,0.6915243011435583,0.9660976285830203,0.37695587843428,False
9,8,2,7.0,10.0,1.0,0.9377039677152387,0.9369826619250562,0.33566750137473,False
9,8,2,8.0,10.0,1.0,1.2550426353916033,0.8871296131548763,0.30650112877523666,False
9,8,2,9.0,10.0,1.0,1.6796591539396386,0.803039393706336,0.27897185100668004,False
9,8,2,10.0,10.0,1.0,2.2152947817452517,0.6829680099448192,0.2572971725897467,False
9,9,2,1.0,1.0,1.0,-0.0,1.0,0.9045291663152132,False
9,9,2,2.0,1.0,1.0,0.9034923148418083,0.9408302374857676,0.8956261965923666,False
9,9,2,3.0,1.0,1.0,1.6268173029883375,0.8087451656477986,0.8789499525533567,False
9,9,2,4.0,1.0,1.0,2.1743240603255813,0.6726480868591522,0.8573835294065933,False
9,9,2,5.0,1.0,1.0,2.608349553112903,0.5548047471660482,0.8358976073053067,False
9,9,2,6.0,1.0,1.0,2.96651198327419,0.4591192061214004,0.8205981384088766,False
9,9,2,7.0,1.0,1.0,3.2709687373934715,0.3831771719858265,0.8097318110448134,False
9,9,2,8.0,1.0,1.0,3.5355619932499955,0.3230165648755738,0.8006524249636366,False
9,9,2,9.0,1.0,1.0,3.769446788163347,0.27502750545360927,0.7943384783808466,False
9,9,2,10.0,1.0,1.0,3.978971147184103,0.23636795618493198,0.7875398102362466,False
9,9,2,1.0,2.0,1.0,-0.0,1.0,0.8976462360334365,False
9,9,2,2.0,2.0,1.0,0.7034019527676205,0.9645554370595263,0.88804528950551,False
9,9,2,3.0,2.0,1.0,1.492147632141352,0.8381986561198197,0.86873695241894,False
9,9,2,4.0,2.0,1.0,2.0979712795525116,0.6928401174951736,0.8399590430433467,False
9,9,2,5.0,2.0,1.0,2.563188742669635,0.567125041014853,0.8068874007675034,False
9,9,2,6.0,2.0,1.0,2.9389949375718523,0.46627599319135077,0.7787433582727801,False
9,9,2,7.0,2.0,1.0,3.2542616328215703,0.38717102888097094,0.7586386236833866,False
9,9,2,8.0,2.0,1.0,3.5259255429715064,0.3251010226522194,0.74626387025461,False
9,9,2,9.0,2.0,1.0,3.7646788782550913,0.2759551655198459,0.73940013553826,False
9,9,2,10.0,2.0,1.0,3.977694855995305,0.23659098010729934,0.72593637751068,False
9,9,2,1.0,3.0,1.0,-0.0,1.0,0.8804260021795767,False
9,9,2,2.0,3.0,1.0,0.4358313298321983,0.9867243713233567,0.8703373810818134,False
9,9,2,3.0,3.0,1.0,1.1234471010399047,0.9079265136979905,0.8499444554695734,False
9,9,2,4.0,3.0,1.0,1.8258083302493586,0.7619514769655827,0.8114307021989132,False
9,9,2,5.0,3.0,1.0,2.3580851549486366,0.6231231801440429,0.7592233371016067,False
9,9,2,6.0,3.0,1.0,2.769981132694788,0.5110449155892851,0.7102156875574699,False
9,9,2,7.0,3.0,1.0,3.106251418117381,0.423472931954365,0.67115258344912,False
9,9,2,8.0,3.0,1.0,3.391163067135035,0.35511015393423034,0.6541802105295934,False
9,9,2,9.0,3.0,1.0,3.638810171495211,0.30121068472454604,0.63096921865748,False
9,9,2,10.0,3.0,1.0,3.8580903757496805,0.25816885245979077,0.6188439351271332,False
9,9,2,1.0,4.0,1.0,-0.0,1.0,0.8416540146589667,False
9,9,2,2.0,4.0,1.0,0.2873496762803279,0.9943329328934156,0.8365513036509167,False
9,9,2,3.0,4.0,1.0,0.7477005630165895,0.9598261852322704,0.8164374086995301,False
9,9,2,4.0,4.0,1.0,1.402543907460171,0.8566860732706485,0.7708617941558267,False
9,9,2,5.0,4.0,1.0,2.044092758584343,0.7069061192864686,0.6967757267192201,False
9,9,2,6.0,4.0,1.0,2.525820852618264,0.5773337500349501,0.6443812393933434,False
9,9,2,7.0,4.0,1.0,2.8999522237105255,0.4764997228145405,0.5972503097955466,False
