L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
6,3,2,0.5,3.0,10.0,50,fock_entropy_normalized,0.371077646086674,0.004420394300956929,0.06599034980023918,0.0011706743135522478,0.17119547411493202,0.0006067125388118967,500
6,3,2,0.5,3.0,11.0,50,fock_entropy_normalized,0.344178700480334,0.004202665994829319,0.0597860770632186,0.0009768091033048936,0.16964870483118802,0.0005803905573693494,500
6,3,2,0.5,3.0,12.0,50,fock_entropy_normalized,0.3246192071684582,0.004480033697860356,0.0564966585152778,0.000995669401195569,0.169689121048764,0.0006581566560344632,500
6,3,2,0.5,3.0,13.0,50,fock_entropy_normalized,0.305389825573792,0.0042106820920986675,0.052726555510526,0.0008851357452544385,0.16894560929819202,0.0006303674887105553,500
6,3,2,0.5,3.0,14.0,50,fock_entropy_normalized,0.285506315950445,0.004225049612233472,0.04919308005367919,0.0008371038577253496,0.16807300848204,0.0006039343882304846,500
6,3,2,0.5,3.0,15.0,50,fock_entropy_normalized,0.2738945644391604,0.004366389457625595,0.047587786417094595,0.0008684958220824625,0.167902794612642,0.0005979934144137062,500
6,3,2,0.5,4.0,1.0,50,fock_entropy_normalized,0.6530861334815541,0.0011131019267956502,0.180416979805326,0.0008992593032909599,0.223518066448484,1.5750349128301488e-05,500
6,3,2,0.5,4.0,2.0,50,fock_entropy_normalized,0.596664738378338,0.0015533917887137405,0.1400711784116076,0.001026029166583031,0.22237465234411002,4.540623355489875e-05,500
6,3,2,0.5,4.0,3.0,50,fock_entropy_normalized,0.562273010217286,0.0015304777158774284,0.1199214561978826,0.0008536318288121216,0.21841902306132602,0.0002062202671487847,500
6,3,2,0.5,4.0,4.0,50,fock_entropy_normalized,0.5342857699660022,0.0019038354799215268,0.10875238427909059,0.000848731753688682,0.21035074896905598,0.0004259680468619422,500
6,3,2,0.5,4.0,5.0,50,fock_entropy_normalized,0.5053260436420919,0.0024044678665061294,0.0994152767565684,0.0009365739388135482,0.201195357082768,0.0005683690160367914,500
6,3,2,0.5,4.0,6.0,50,fock_entropy_normalized,0.47524853487411406,0.0029297504231025353,0.0914062549458432,0.0010333105217775794,0.19305113054975198,0.0006199077524794584,500
6,3,2,0.5,4.0,7.0,50,fock_entropy_normalized,0.448599478299554,0.003196998291290049,0.083542080354766,0.0009760689127218428,0.18744173068593797,0.0006711010279429316,500
6,3,2,0.5,4.0,8.0,50,fock_entropy_normalized,0.42811577602893996,0.003454311951623043,0.0781811687169178,0.001017450129805303,0.18344453514570802,0.0006864992198012781,500
6,3,2,0.5,4.0,9.0,50,fock_entropy_normalized,0.392247695489566,0.0035728726532582127,0.06949653239426981,0.0009137802666551101,0.17786610956661197,0.0006540926509952775,500
6,3,2,0.5,4.0,10.0,50,fock_entropy_normalized,0.36250139389043795,0.003924945967995826,0.06346163516595499,0.000999283957281385,0.176065581288038,0.0007041662951687807,500
6,3,2,0.5,4.0,11.0,50,fock_entropy_normalized,0.34123466126861596,0.003551761139328722,0.0585331072446224,0.0007813254818786438,0.173458640370414,0.0006849888039195823,500
6,3,2,0.5,4.0,12.0,50,fock_entropy_normalized,0.3197192151460426,0.00367700361268271,0.0544163853210496,0.000742240335091467,0.17163053885191598,0.0006147668397977363,500
6,3,2,0.5,4.0,13.0,50,fock_entropy_normalized,0.301549740590797,0.003889198541309591,0.051482811744056604,0.0007957117455479017,0.17029197481594802,0.0006569775615371589,500
6,3,2,0.5,4.0,14.0,50,fock_entropy_normalized,0.27929484888192474,0.0038758710020417794,0.0482378375995512,0.0007629302098473138,0.170025597735952,0.0006894663046610143,500
6,3,2,0.5,4.0,15.0,50,fock_entropy_normalized,0.2670678064826025,0.003895459796595312,0.0463590979563082,0.0007349628448031163,0.16972223080051,0.0006774418998190474,500
6,3,2,0.5,5.0,1.0,50,fock_entropy_normalized,0.633109850167056,0.0011734956480087095,0.172057512663472,0.0008613167954602553,0.22452691953931003,9.028387317473594e-06,500
6,3,2,0.5,5.0,2.0,50,fock_entropy_normalized,0.5585082140463401,0.0019817944129538454,0.1262443224993018,0.001127372245755075,0.223936930565996,2.7268844731715076e-05,500
