L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
6,4,3,14.0,10.0,0.1879207233384938,120,15,0.5656511481581257,0.33222017483815175
6,4,3,15.0,10.0,0.1827344683612575,120,15,0.5656511481581257,0.32305152912051505
6,4,4,1.0,10.0,0.5231788175069639,126,15,0.5599446544275608,0.9343402305390645
6,4,4,2.0,10.0,0.462771886728022,126,15,0.5599446544275608,0.8264600493438412
6,4,4,3.0,10.0,0.39385612602051,126,15,0.5599446544275608,0.7033840271645322
6,4,4,4.0,10.0,0.337324919759185,126,15,0.5599446544275608,0.6024254666812329
6,4,4,5.0,10.0,0.29399774928946004,126,15,0.5599446544275608,0.5250478720794611
6,4,4,6.0,10.0,0.267247567432261,126,15,0.5599446544275608,0.4772749687296719
6,4,4,7.0,10.0,0.24362212216946302,126,15,0.5599446544275608,0.43508250367801315
6,4,4,8.0,10.0,0.23114866549576302,126,15,0.5599446544275608,0.4128062723128762
6,4,4,9.0,10.0,0.2132847078485769,126,15,0.5599446544275608,0.3809031949177563
6,4,4,10.0,10.0,0.20243212617157802,126,15,0.5599446544275608,0.36152166927734525
6,4,4,11.0,10.0,0.19935287483425762,126,15,0.5599446544275608,0.3560224626808141
6,4,4,12.0,10.0,0.19132563910740658,126,15,0.5599446544275608,0.341686696345019
6,4,4,13.0,10.0,0.1876877774994627,126,15,0.5599446544275608,0.3351898728122309
6,4,4,14.0,10.0,0.1811132142353071,126,15,0.5599446544275608,0.32344842084520237
6,4,4,15.0,10.0,0.17662056846413032,126,15,0.5599446544275608,0.3154250461497699
6,4,5,1.0,10.0,0.522937109664829,126,15,0.5599446544275608,0.9339085667304653
6,4,5,2.0,10.0,0.46270844955844703,126,15,0.5599446544275608,0.8263467574870954
6,4,5,3.0,10.0,0.394121691845328,126,15,0.5599446544275608,0.7038582987246197
6,4,5,4.0,10.0,0.337848836682589,126,15,0.5599446544275608,0.6033611250882939
6,4,5,5.0,10.0,0.296480089031945,126,15,0.5599446544275608,0.5294810597576661
6,4,5,6.0,10.0,0.266862825043509,126,15,0.5599446544275608,0.47658786084193727
6,4,5,7.0,10.0,0.242397417022955,126,15,0.5599446544275608,0.43289531403913706
6,4,5,8.0,10.0,0.227078051682097,126,15,0.5599446544275608,0.40553660060250424
6,4,5,9.0,10.0,0.21038798235991402,126,15,0.5599446544275608,0.3757299595528715
6,4,5,10.0,10.0,0.202759680387178,126,15,0.5599446544275608,0.36210664533347864
6,4,5,11.0,10.0,0.19485329331726498,126,15,0.5599446544275608,0.3479867015008228
6,4,5,12.0,10.0,0.18832686915932678,126,15,0.5599446544275608,0.3363312207201191
6,4,5,13.0,10.0,0.1840329852628752,126,15,0.5599446544275608,0.32866281302571715
6,4,5,14.0,10.0,0.1780903088824926,126,15,0.5599446544275608,0.3180498420233278
6,4,5,15.0,10.0,0.17451887103207928,126,15,0.5599446544275608,0.3116716440672022
6,5,2,1.0,10.0,0.6292177717442999,126,6,0.370482842750058,1.698372229800651
6,5,2,2.0,10.0,0.5620807363567019,126,6,0.370482842750058,1.517157264785682
6,5,2,3.0,10.0,0.492410245611493,126,6,0.370482842750058,1.329104046914507
6,5,2,4.0,10.0,0.43171037735196593,126,6,0.370482842750058,1.1652641567620836
6,5,2,5.0,10.0,0.3842148785453,126,6,0.370482842750058,1.0370652408443815
6,5,2,6.0,10.0,0.347019665899907,126,6,0.370482842750058,0.9366686546778088
6,5,2,7.0,10.0,0.318849481315802,126,6,0.370482842750058,0.8606322466892485
6,5,2,8.0,10.0,0.30206678064116,126,6,0.370482842750058,0.8153327112234071
6,5,2,9.0,10.0,0.285963717946239,126,6,0.370482842750058,0.7718676412207329
6,5,2,10.0,10.0,0.27986431528203404,126,6,0.370482842750058,0.755404253553629
6,5,2,11.0,10.0,0.26543213789710096,126,6,0.370482842750058,0.716449204305452
6,5,2,12.0,10.0,0.260864270952783,126,6,0.370482842750058,0.7041197077209107
6,5,2,13.0,10.0,0.25362430168961897,126,6,0.370482842750058,0.6845777251302395
6,5,2,14.0,10.0,0.24246585034450197,126,6,0.370482842750058,0.6544590527990489
6,5,2,15.0,10.0,0.23892424096635498,126,6,0.370482842750058,0.644899610445773
6,5,3,1.0,10.0,0.510770759288955,216,6,0.3333333333333333,1.532312277866865
6,5,3,2.0,10.0,0.42604461919305103,216,6,0.3333333333333333,1.2781338575791532
6,5,3,3.0,10.0,0.353751374300198,216,6,0.3333333333333333,1.061254122900594
6,5,3,4.0,10.0,0.30634999058328305,216,6,0.3333333333333333,0.9190499717498491
6,5,3,5.0,10.0,0.26943811316744704,216,6,0.3333333333333333,0.8083143395023411
6,5,3,6.0,10.0,0.24456515764256803,216,6,0.3333333333333333,0.7336954729277041
6,5,3,7.0,10.0,0.22681678859397203,216,6,0.3333333333333333,0.6804503657819161
6,5,3,8.0,10.0,0.21331028802051602,216,6,0.3333333333333333,0.6399308640615481
6,5,3,9.0,10.0,0.204283220860781,216,6,0.3333333333333333,0.612849662582343
6,5,3,10.0,10.0,0.197981095642362,216,6,0.3333333333333333,0.593943286927086
6,5,3,11.0,10.0,0.19784765692043,216,6,0.3333333333333333,0.59354297076129
6,5,3,12.0,10.0,0.19489756016981197,216,6,0.3333333333333333,0.5846926805094359
6,5,3,13.0,10.0,0.18922638256588908,216,6,0.3333333333333333,0.5676791476976673
6,5,3,14.0,10.0,0.184545102084261,216,6,0.3333333333333333,0.553635306252783
6,5,3,15.0,10.0,0.184760360605141,216,6,0.3333333333333333,0.554281081815423
6,5,4,1.0,10.0,0.492885978079868,246,6,0.3254589587445453,1.5144335862843377
6,5,4,2.0,10.0,0.398215256977985,246,6,0.3254589587445453,1.2235498402443628
6,5,4,3.0,10.0,0.33277407557403005,246,6,0.3254589587445453,1.0224763111690112
6,5,4,4.0,10.0,0.279856781037389,246,6,0.3254589587445453,0.8598834769119085
6,5,4,5.0,10.0,0.248910269599502,246,6,0.3254589587445453,0.7647977199941611
6,5,4,6.0,10.0,0.223132259673692,246,6,0.3254589587445453,0.6855926182963974
6,5,4,7.0,10.0,0.20655583396231597,246,6,0.3254589587445453,0.6346601573332105
6,5,4,8.0,10.0,0.193455393651492,246,6,0.3254589587445453,0.594407953610324
