L,N,nmax,W_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,peak_resolved,unresolved_reasons
8,8,8,1.1,0.175,0.1719837511448905,0.1705420706488941,0.1705420706488941,0.1708839241875072,0.1664927840832792,0.1739716756138009,True,
8,8,8,1.2,0.175,0.1785241933009684,0.1776016229541236,0.1776016229541236,0.1775697077297711,0.1740682215585423,0.1807397375151595,True,
8,8,8,1.3,0.175,0.1841367095488242,0.1835488897587021,0.1835488897587021,0.1837797824539609,0.1805856305556155,0.1868857076731573,True,
8,8,8,1.4,0.175,0.1898526310780922,0.189483892484876,0.189483892484876,0.1897078952294258,0.1866858006053784,0.1940924886921777,True,
8,8,8,1.5,0.2,0.1983001307119392,0.1978628339476332,0.1978628339476332,0.1983181715653624,0.1938870922504906,0.2028118683322263,True,
8,8,8,1.6,0.2,0.2058660396355014,0.2055775544961936,0.2055775544961936,0.2061168760415694,0.2017448825474701,0.2103711958797112,True,
8,8,8,1.7,0.2,0.2129582501006792,0.2127564496248424,0.2127564496248424,0.2133081707094171,0.2092040728885055,0.2185668259533702,True,
8,8,8,1.8,0.225,0.221968904268804,0.2216964856426523,0.2216964856426523,0.2224734906947785,0.2168538219938386,0.2274823526711317,True,
8,8,8,1.9,0.225,0.2310179683405471,0.2309251606183073,0.2309251606183073,0.2316029954208873,0.2262609491373935,0.2365411952823475,True,
8,8,8,2.0,0.225,0.2390012872256867,0.2389017148776445,0.2389017148776445,0.2396187382359117,0.2345457151214924,0.2463264761777601,True,
8,8,8,2.1,0.25,0.2487960092190141,0.2487103631603881,0.2487103631603881,0.2498196695489628,0.243366007123548,0.2561638471090993,True,
8,8,8,2.2,0.25,0.2580684430903599,0.2580734244190982,0.2580734244190982,0.2595537272107089,0.2531930551534879,0.2667908069867573,True,
8,8,8,2.3,0.275,0.2677847711116781,0.2678990844985102,0.2678990844985102,0.2698446593828634,0.2619622078034654,0.2777467448627479,True,
8,8,8,2.4,0.275,0.278405151856645,0.2783801340806309,0.2783801340806309,0.2800901006522192,0.2724073714633803,0.2875192862450151,True,
8,8,8,2.5,0.275,0.2880262319874356,0.2878520646145142,0.2878520646145142,0.289473765133906,0.2821712027238455,0.2986538254877905,True,
