L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
8,7,7,1.3,0.2229333538539742,0.2300331447662423,0.2209654122841415,0.2390185462919028
8,7,7,1.4,0.238803050985625,0.2465256494791224,0.2366852035876499,0.2562711301130724
8,7,7,1.5,0.2544667968445443,0.2626564046731832,0.2523983828584888,0.2733383355721275
8,7,7,1.6,0.2699279392531515,0.2788121260465521,0.2678141735152043,0.2900952309034362
8,7,7,1.7,0.285190668154228,0.2947320816498324,0.2830129773127318,0.3067377830134417
8,7,7,1.8,0.3002597922427356,0.310372407229711,0.2981049322771147,0.3232171924598487
8,7,7,1.9,0.3151405223718626,0.325955120873176,0.3128647809754403,0.339450804744926
8,7,7,2.0,0.3298383356089839,0.34122191186445,0.3276568706085103,0.3556429552368557
8,7,7,2.1,0.3443588252045881,0.3564630912453979,0.3422039092123513,0.3716671900664549
8,7,7,2.2,0.3587075875109546,0.3714931917072699,0.3566231035425583,0.3873996905265851
8,7,7,2.3,0.372890198989146,0.3861669765479463,0.3708391492817763,0.4031910825013035
8,7,7,2.4,0.3869120165853117,0.4010106396665331,0.3847486740857608,0.4186779236387961
8,7,7,2.5,0.4007783533713057,0.415508155874052,0.3987112071061246,0.4340043830023254
8,8,8,0.1,0.0164015429279555,0.0167907754765932,0.0161582182605819,0.0175057056936811
8,8,8,0.2,0.0327732559922493,0.0336648749742007,0.0324100901912349,0.0350808620160125
8,8,8,0.3,0.0490861478461676,0.0504685016870815,0.0485844149691052,0.0525888962929126
8,8,8,0.4,0.0653132120224854,0.0671674898381256,0.0646376277819156,0.0700092287056185
8,8,8,0.5,0.0814298863989047,0.0837104356113016,0.0805731493847063,0.0872412509226739
8,8,8,0.6,0.0974147745538606,0.1002281109985336,0.0964276839884665,0.1044582651029099
8,8,8,0.7,0.1132499040785403,0.1165274056538357,0.1120393637801525,0.1214780220446961
8,8,8,0.8,0.1289207475937942,0.1326508166541729,0.1276329723414015,0.1382598906689764
