L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,2.1,0.35000000000000003,1.4534713025615373,1.538969614476922,589,0.1178
7,7,7,2.1,0.35000000000000003,1.538969614476922,1.6244679263923065,362,0.0724
7,7,7,2.1,0.35000000000000003,1.6244679263923065,1.709966238307691,175,0.035
7,7,7,2.1,0.35000000000000003,1.709966238307691,1.7954645502230757,82,0.0164
7,7,7,2.1,0.35000000000000003,1.7954645502230757,1.8809628621384602,24,0.0048
7,7,7,2.1,0.35000000000000003,1.8809628621384602,1.9664611740538447,4,0.0008
7,7,7,2.1,0.35000000000000003,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,2.1,0.35000000000000003,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,2.1,0.35000000000000003,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,2.1,0.35000000000000003,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,2.1,0.35000000000000003,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,2.1,0.35000000000000003,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,2.1,0.35000000000000003,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,2.1,0.355,0.0,0.08549831191538455,0,0.0
7,7,7,2.1,0.355,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,2.1,0.355,0.1709966238307691,0.2564949357461537,0,0.0
7,7,7,2.1,0.355,0.2564949357461537,0.3419932476615382,0,0.0
7,7,7,2.1,0.355,0.3419932476615382,0.42749155957692275,2,0.0004
7,7,7,2.1,0.355,0.42749155957692275,0.5129898714923073,5,0.001
7,7,7,2.1,0.355,0.5129898714923073,0.5984881834076918,2,0.0004
7,7,7,2.1,0.355,0.5984881834076918,0.6839864953230764,5,0.001
7,7,7,2.1,0.355,0.6839864953230764,0.769484807238461,17,0.0034
7,7,7,2.1,0.355,0.769484807238461,0.8549831191538455,47,0.0094
7,7,7,2.1,0.355,0.8549831191538455,0.9404814310692301,87,0.0174
7,7,7,2.1,0.355,0.9404814310692301,1.0259797429846147,254,0.0508
7,7,7,2.1,0.355,1.0259797429846147,1.1114780548999992,470,0.094
7,7,7,2.1,0.355,1.1114780548999992,1.1969763668153837,595,0.119
7,7,7,2.1,0.355,1.1969763668153837,1.2824746787307684,807,0.1614
7,7,7,2.1,0.355,1.2824746787307684,1.3679729906461529,828,0.1656
7,7,7,2.1,0.355,1.3679729906461529,1.4534713025615373,635,0.127
7,7,7,2.1,0.355,1.4534713025615373,1.538969614476922,577,0.1154
7,7,7,2.1,0.355,1.538969614476922,1.6244679263923065,367,0.0734
7,7,7,2.1,0.355,1.6244679263923065,1.709966238307691,184,0.0368
7,7,7,2.1,0.355,1.709966238307691,1.7954645502230757,88,0.0176
7,7,7,2.1,0.355,1.7954645502230757,1.8809628621384602,24,0.0048
7,7,7,2.1,0.355,1.8809628621384602,1.9664611740538447,6,0.0012
7,7,7,2.1,0.355,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,2.1,0.355,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,2.1,0.355,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,2.1,0.355,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,2.1,0.355,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,2.1,0.355,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,2.1,0.355,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,2.1,0.36,0.0,0.08549831191538455,0,0.0
7,7,7,2.1,0.36,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,2.1,0.36,0.1709966238307691,0.2564949357461537,0,0.0
7,7,7,2.1,0.36,0.2564949357461537,0.3419932476615382,0,0.0
7,7,7,2.1,0.36,0.3419932476615382,0.42749155957692275,2,0.0004
7,7,7,2.1,0.36,0.42749155957692275,0.5129898714923073,7,0.0014
7,7,7,2.1,0.36,0.5129898714923073,0.5984881834076918,1,0.0002
7,7,7,2.1,0.36,0.5984881834076918,0.6839864953230764,5,0.001
7,7,7,2.1,0.36,0.6839864953230764,0.769484807238461,15,0.003
7,7,7,2.1,0.36,0.769484807238461,0.8549831191538455,47,0.0094
7,7,7,2.1,0.36,0.8549831191538455,0.9404814310692301,91,0.0182
7,7,7,2.1,0.36,0.9404814310692301,1.0259797429846147,265,0.053
7,7,7,2.1,0.36,1.0259797429846147,1.1114780548999992,486,0.0972
7,7,7,2.1,0.36,1.1114780548999992,1.1969763668153837,594,0.1188
7,7,7,2.1,0.36,1.1969763668153837,1.2824746787307684,805,0.161
7,7,7,2.1,0.36,1.2824746787307684,1.3679729906461529,827,0.1654
7,7,7,2.1,0.36,1.3679729906461529,1.4534713025615373,637,0.1274
7,7,7,2.1,0.36,1.4534713025615373,1.538969614476922,576,0.1152
7,7,7,2.1,0.36,1.538969614476922,1.6244679263923065,349,0.0698
7,7,7,2.1,0.36,1.6244679263923065,1.709966238307691,178,0.0356
7,7,7,2.1,0.36,1.709966238307691,1.7954645502230757,87,0.0174
7,7,7,2.1,0.36,1.7954645502230757,1.8809628621384602,21,0.0042
7,7,7,2.1,0.36,1.8809628621384602,1.9664611740538447,7,0.0014
7,7,7,2.1,0.36,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,2.1,0.36,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,2.1,0.36,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,2.1,0.36,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,2.1,0.36,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,2.1,0.36,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,2.1,0.36,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,2.1,0.365,0.0,0.08549831191538455,0,0.0
7,7,7,2.1,0.365,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,2.1,0.365,0.1709966238307691,0.2564949357461537,0,0.0
7,7,7,2.1,0.365,0.2564949357461537,0.3419932476615382,0,0.0
7,7,7,2.1,0.365,0.3419932476615382,0.42749155957692275,2,0.0004
7,7,7,2.1,0.365,0.42749155957692275,0.5129898714923073,7,0.0014
7,7,7,2.1,0.365,0.5129898714923073,0.5984881834076918,1,0.0002
7,7,7,2.1,0.365,0.5984881834076918,0.6839864953230764,5,0.001
